0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,01/02/2004,India,WACA Ground,17*,17,,0/15,0,,1,1,,,,28 years 250 days
2.0,22/02/2005,New Zealand,AMI Stadium,32*,49,,,0,,,1,,,,29 years 271 days
3.0,26/02/2005,New Zealand,Eden Park,65*,114,,0/22,0,,3,4,,,,29 years 275 days
4.0,01/03/2005,New Zealand,Basin Reserve,-,114,,,0,,,4,,,,29 years 278 days
5.0,05/03/2005,New Zealand,McLean Park,0*,114,,,0,,,4,,,,29 years 282 days
6.0,18/06/2005,Bangladesh,Sophia Gardens,31*,145,,0/24,0,,,4,,,,30 years 22 days
7.0,19/06/2005,England,County Ground (Bristol),84,229,229.00,,0,,,4,,,,30 years 23 days
8.0,23/06/2005,England,Riverside Ground,5,234,117.00,,0,,2,6,,,,30 years 27 days
9.0,25/06/2005,Bangladesh,Old Trafford,-,234,117.00,,0,,,6,,,,30 years 29 days
10.0,28/06/2005,England,Edgbaston,45,279,93.00,,0,,,6,,,,30 years 32 days
11.0,30/06/2005,Bangladesh,St Lawrence Ground,-,279,93.00,,0,,,6,,,,30 years 34 days
12.0,02/07/2005,England,Lord's,62*,341,113.67,1/31,1,92.00,,6,,,,30 years 36 days
13.0,07/07/2005,England,Headingley,46*,387,129.00,,1,92.00,,6,,,,30 years 41 days
14.0,10/07/2005,England,Lord's,-,387,129.00,,1,92.00,1,7,,,,30 years 44 days
15.0,12/07/2005,England,Kennington Oval,-,387,129.00,,1,92.00,,7,,,,30 years 46 days
16.0,05/10/2005,ICC World XI,Etihad Stadium,32,419,104.75,,1,92.00,1,8,,,,30 years 131 days
17.0,07/10/2005,ICC World XI,Etihad Stadium,-,419,104.75,,1,92.00,,8,,,,30 years 133 days
18.0,09/10/2005,ICC World XI,Etihad Stadium,75*,494,123.50,,1,92.00,1,9,,,,30 years 135 days
19.0,03/12/2005,New Zealand,Eden Park,21*,515,128.75,,1,92.00,1,10,,,,30 years 190 days
20.0,07/12/2005,New Zealand,Westpac Stadium,1*,516,129.00,,1,92.00,1,11,,,,30 years 194 days
21.0,10/12/2005,New Zealand,AMI Stadium,88*,604,151.00,,1,92.00,1,12,,,,30 years 197 days
22.0,13/01/2006,Sri Lanka,Etihad Stadium,34*,638,159.50,,1,92.00,,12,,,,30 years 231 days
23.0,15/01/2006,South Africa,Brisbane Cricket Ground,73,711,142.20,,1,92.00,1,13,,,,30 years 233 days
24.0,20/01/2006,South Africa,Etihad Stadium,18,729,121.50,,1,92.00,,13,,,,30 years 238 days
25.0,22/01/2006,Sri Lanka,Sydney Cricket Ground,0,729,104.14,,1,92.00,1,14,,,,30 years 240 days
26.0,26/01/2006,Sri Lanka,Adelaide Oval,25*,754,107.71,,1,92.00,,14,,,,30 years 244 days
27.0,29/01/2006,Sri Lanka,WACA Ground,-,754,107.71,,1,92.00,,14,,,,30 years 247 days
28.0,03/02/2006,South Africa,Etihad Stadium,62,816,102.00,,1,92.00,,14,,,,30 years 252 days
29.0,05/02/2006,South Africa,Sydney Cricket Ground,47*,863,107.88,,1,92.00,1,15,,,,30 years 254 days
30.0,10/02/2006,Sri Lanka,Adelaide Oval,16,879,97.67,,1,92.00,,15,,,,30 years 259 days
31.0,12/02/2006,Sri Lanka,Sydney Cricket Ground,23*,902,100.22,,1,92.00,,15,,,,30 years 261 days
32.0,14/02/2006,Sri Lanka,Brisbane Cricket Ground,-,902,100.22,,1,92.00,1,16,,,,30 years 263 days
33.0,26/02/2006,South Africa,SuperSport Park,56,958,95.80,,1,92.00,,16,,,,30 years 275 days
34.0,03/03/2006,South Africa,Newlands,22,980,89.09,,1,92.00,,16,,,,30 years 280 days
35.0,05/03/2006,South Africa,St George's Park,22,1002,83.50,,1,92.00,,16,,,,30 years 282 days
36.0,10/03/2006,South Africa,Kingsmead,19,1021,78.54,0/15,1,107.00,1,17,,,,30 years 287 days
37.0,12/03/2006,South Africa,Wanderers Stadium,81,1102,78.71,,1,107.00,2,19,,,,30 years 289 days
38.0,23/04/2006,Bangladesh,Zahur Ahmed Chowdhury Stadium,36*,1138,81.29,0/13,1,120.00,,19,,,,30 years 331 days
39.0,26/04/2006,Bangladesh,Khan Shaheb Osman Ali Stadium,18,1156,77.07,1/22,2,71.00,2,21,,,,30 years 334 days
40.0,28/04/2006,Bangladesh,Khan Shaheb Osman Ali Stadium,-,1156,77.07,0/13,2,77.50,,21,,,,30 years 336 days
41.0,18/09/2006,West Indies,Kinrara Academy Oval,109*,1265,84.33,,2,77.50,2,23,,,,31 years 114 days
42.0,22/09/2006,India,Kinrara Academy Oval,13,1278,79.88,,2,77.50,2,25,,,,31 years 118 days
43.0,24/09/2006,West Indies,Kinrara Academy Oval,30*,1308,81.75,,2,77.50,,25,,,,31 years 120 days
44.0,18/10/2006,West Indies,Brabourne Stadium,13,1321,77.71,,2,77.50,,25,,,,31 years 144 days
45.0,21/10/2006,England,Sawai Mansingh Stadium,32*,1353,79.59,,2,77.50,2,27,,,,31 years 147 days
46.0,29/10/2006,India,Punjab Cricket Association IS Bindra Stadium,-,1353,79.59,,2,77.50,1,28,,,,31 years 155 days
47.0,01/11/2006,New Zealand,Punjab Cricket Association IS Bindra Stadium,35,1388,77.11,,2,77.50,,28,,,,31 years 158 days
48.0,05/11/2006,West Indies,Brabourne Stadium,-,1388,77.11,,2,77.50,,28,,,,31 years 162 days
49.0,12/01/2007,England,Melbourne Cricket Ground,-,1388,77.11,,2,77.50,1,29,,,,31 years 230 days
50.0,14/01/2007,New Zealand,Bellerive Oval,20,1408,74.11,,2,77.50,1,30,,,,31 years 232 days
51.0,19/01/2007,England,Brisbane Cricket Ground,46*,1454,76.53,,2,77.50,,30,,,,31 years 237 days
52.0,21/01/2007,New Zealand,Sydney Cricket Ground,65*,1519,79.95,,2,77.50,2,32,,,,31 years 239 days
53.0,26/01/2007,England,Adelaide Oval,-,1519,79.95,,2,77.50,,32,,,,31 years 244 days
54.0,28/01/2007,New Zealand,WACA Ground,29*,1548,81.47,,2,77.50,,32,,,,31 years 246 days
55.0,02/02/2007,England,Sydney Cricket Ground,6,1554,77.70,,2,77.50,,32,,,,31 years 251 days
56.0,04/02/2007,New Zealand,Melbourne Cricket Ground,8,1562,74.38,,2,77.50,2,34,,,,31 years 253 days
57.0,09/02/2007,England,Melbourne Cricket Ground,17,1579,71.77,,2,77.50,,34,,,,31 years 258 days
58.0,11/02/2007,England,Sydney Cricket Ground,0,1579,68.65,0/12,2,83.50,,34,,,,31 years 260 days
59.0,16/02/2007,New Zealand,Westpac Stadium,42,1621,67.54,,2,83.50,,34,,,,31 years 265 days
60.0,17/02/2007,New Zealand,Eden Park,105,1726,69.04,,2,83.50,3,37,,,,31 years 266 days
61.0,20/02/2007,New Zealand,Seddon Park,13,1739,66.88,,2,83.50,1,38,,,,31 years 269 days
62.0,14/03/2007,Scotland,Warner Park,4,1743,64.56,,2,83.50,,38,,,,31 years 291 days
63.0,18/03/2007,Netherlands,Warner Park,2,1745,62.32,,2,83.50,1,39,,,,31 years 295 days
64.0,24/03/2007,South Africa,Warner Park,5,1750,60.34,,2,83.50,,39,,,,31 years 301 days
65.0,27/03/2007,West Indies,Sir Vivian Richards Stadium,9,1759,58.63,,2,83.50,,39,,,,31 years 304 days
66.0,31/03/2007,Bangladesh,Sir Vivian Richards Stadium,-,1759,58.63,,2,83.50,,39,,,,31 years 308 days
67.0,08/04/2007,England,Sir Vivian Richards Stadium,-,1759,58.63,,2,83.50,2,41,,,,31 years 316 days
68.0,13/04/2007,Ireland,Kensington Oval,30*,1789,59.63,,2,83.50,,41,,,,31 years 321 days
69.0,16/04/2007,Sri Lanka,National Cricket Stadium (Grenada),-,1789,59.63,,2,83.50,,41,,,,31 years 324 days
70.0,20/04/2007,New Zealand,National Cricket Stadium (Grenada),37,1826,58.90,,2,83.50,2,43,,,,31 years 328 days
71.0,25/04/2007,South Africa,Darren Sammy National Cricket Stadium,-,1826,58.90,,2,83.50,,43,,,,31 years 333 days
72.0,28/04/2007,Sri Lanka,Kensington Oval,-,1826,58.90,,2,83.50,,43,,,,31 years 336 days
73.0,14/12/2007,New Zealand,Adelaide Oval,-,1826,58.90,,2,83.50,,43,,,,32 years 201 days
74.0,16/12/2007,New Zealand,Sydney Cricket Ground,-,1826,58.90,,2,83.50,,43,,,,32 years 203 days
75.0,20/12/2007,New Zealand,Bellerive Oval,9,1835,57.34,,2,83.50,,43,,,,32 years 207 days
76.0,03/02/2008,India,Brisbane Cricket Ground,-,1835,57.34,,2,83.50,,43,,,,32 years 252 days
77.0,08/02/2008,Sri Lanka,Sydney Cricket Ground,10,1845,55.91,,2,83.50,,43,,,,32 years 257 days
