0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,13/10/1987,Zimbabwe,MA Chidambaram Stadium,D L Houghton (c S P O'Donnell),8.0,2/29,,24.00,3.63,1,14.50
,,,,A C Waller (c & b),,,,,,2,
2.0,18/10/1987,New Zealand,Nehru Stadium (Indore),,6.0,0/39,,42.00,4.86,,34.00
3.0,27/10/1987,New Zealand,Sector 16 Stadium,,10.0,0/52,,72.00,5.00,,60.00
4.0,30/10/1987,Zimbabwe,Barabati Stadium,D L Houghton (lbw),10.0,2/30,,51.00,4.41,3,37.50
,,,,K M Curran (c S R Waugh),,,,,,4,
5.0,04/11/1987,Pakistan,Gaddafi Stadium,,6.0,0/36,,60.00,4.65,,46.50
6.0,08/11/1987,England,Eden Gardens,,4.0,0/27,,66.00,4.84,,53.25
7.0,02/01/1988,Sri Lanka,WACA Ground,H P Tillakaratne (c †G C Dyer),10.0,1/49,,64.80,4.85,5,52.40
8.0,14/01/1988,Sri Lanka,Melbourne Cricket Ground,,10.0,0/48,,76.80,4.84,,62.00
9.0,19/01/1988,Sri Lanka,Sydney Cricket Ground,,10.0,0/22,,88.80,4.49,,66.40
10.0,14/10/1988,Pakistan,Gaddafi Stadium,Ramiz Raja (c A I C Dodemaide),9.0,1/31,,83.00,4.37,6,60.50
11.0,27/05/1989,England,Trent Bridge,M W Gatting (b),11.0,2/35,,70.50,4.23,7,49.75
,,,,R A Smith (st †I A Healy),,,,,,8,
12.0,29/05/1989,England,Lord's,,6.0,0/33,,75.00,4.31,,53.88
13.0,19/10/1989,England,Lal Bahadur Shastri Stadium,W Larkins (c A R Border),10.0,1/55,,73.33,4.42,9,54.00
14.0,10/12/1992,Pakistan,Bellerive Oval,,5.0,0/29,,76.67,4.48,,57.22
15.0,13/12/1992,Pakistan,Adelaide Oval,Javed Miandad (b),10.0,2/27,,68.18,4.34,10,49.27
,,,,Ramiz Raja (b),,,,,,11,
16.0,10/01/1993,West Indies,Brisbane Cricket Ground,K C G Benjamin (c S R Waugh),8.0,1/48,,66.50,4.44,12,49.17
17.0,12/01/1993,Pakistan,Melbourne Cricket Ground,,10.0,0/41,,71.50,4.41,,52.58
18.0,19/03/1993,New Zealand,Carisbrook,D N Patel (c D R Martyn),9.2,3/51,,60.93,4.48,13,45.47
,,,,W Watson (c D R Martyn),,,,,,14,
,,,,G R Larsen (st †I A Healy),,,,,,15,
19.0,21/03/1993,New Zealand,AMI Stadium,,9.0,0/52,,64.53,4.55,,48.93
20.0,27/03/1993,New Zealand,Seddon Park,,10.0,0/45,,68.53,4.55,,51.93
21.0,28/03/1993,New Zealand,Eden Park,M D Crowe (lbw),10.0,2/40,,64.00,4.52,16,48.18
