0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,06/01/1985,West Indies,Melbourne Cricket Ground,not out,7*,6,116.67,,7,,116.67
2,08/01/1985,Sri Lanka,Sydney Cricket Ground,not out,20*,18,111.11,,27,,112.50
3,13/01/1985,West Indies,Brisbane Cricket Ground,run out,25,37,67.57,,52,52.00,85.25
4,15/01/1985,West Indies,Sydney Cricket Ground,b M D Marshall,17,15,113.33,,69,34.50,90.79
5,19/01/1985,Sri Lanka,Melbourne Cricket Ground,b R J Ratnayake,7,9,77.78,,76,25.33,89.41
6,20/01/1985,West Indies,Melbourne Cricket Ground,run out,11,24,45.83,,87,21.75,79.82
7,23/01/1985,Sri Lanka,Sydney Cricket Ground,c S H U Karnain b A L F De Mel,2,7,28.57,,89,17.80,76.72
8,27/01/1985,West Indies,Adelaide Oval,c †P J L Dujon b J Garner,9,21,42.86,,98,16.33,71.53
9,28/01/1985,Sri Lanka,Adelaide Oval,did not bat,-,-,-,,98,16.33,71.53
10,03/02/1985,Sri Lanka,WACA Ground,did not bat,-,-,-,,98,16.33,71.53
11,06/02/1985,West Indies,Sydney Cricket Ground,lbw b J Garner,17,22,77.27,,115,16.43,72.33
12,10/02/1985,West Indies,Melbourne Cricket Ground,did not bat,-,-,-,,115,16.43,72.33
13,12/02/1985,West Indies,Sydney Cricket Ground,c & b J Garner,69,80,86.25,,184,23.00,76.99
14,17/02/1985,England,Melbourne Cricket Ground,did not bat,-,-,-,,184,23.00,76.99
15,24/02/1985,Pakistan,Melbourne Cricket Ground,not out,74*,101,73.27,,258,32.25,75.88
16,03/03/1985,India,Melbourne Cricket Ground,c M Amarnath b R J Shastri,17,51,33.33,,275,30.56,70.33
17,24/03/1985,England,Sharjah Cricket Stadium,c M D Moxon b R M Ellison,19,39,48.72,,294,29.40,68.37
18,29/03/1985,India,Sharjah Cricket Stadium,run out,3,25,12.00,,297,27.00,65.27
19,30/05/1985,England,Old Trafford,b I T Botham,1,3,33.33,,298,24.83,65.07
20,01/06/1985,England,Edgbaston,b I T Botham,28,34,82.35,,326,25.08,66.26
21,03/06/1985,England,Lord's,not out,0*,1,0.00,,326,25.08,66.13
22,01/01/1987,England,WACA Ground,run out,0,10,0.00,,326,23.29,64.81
23,02/01/1987,Pakistan,WACA Ground,not out,9*,6,150.00,,335,23.93,65.82
24,04/01/1987,West Indies,WACA Ground,lbw b R A Harper,8,18,44.44,,343,22.87,65.09
25,18/01/1987,England,Brisbane Cricket Ground,not out,3*,3,100.00,,346,23.07,65.28
26,20/01/1987,West Indies,Melbourne Cricket Ground,c M A Holding b M D Marshall,52,64,81.25,,398,24.88,67.00
27,22/01/1987,England,Sydney Cricket Ground,did not bat,-,-,-,,398,24.88,67.00
28,25/01/1987,West Indies,Adelaide Oval,c †P J L Dujon b M D Marshall,0,1,0.00,,398,23.41,66.89
29,26/01/1987,England,Adelaide Oval,run out,6,6,100.00,,404,22.44,67.22
30,28/01/1987,West Indies,Sydney Cricket Ground,run out,6,7,85.71,,410,21.58,67.43
31,01/02/1987,England,Melbourne Cricket Ground,not out,4*,8,50.00,,414,21.79,67.21
32,06/02/1987,West Indies,Sydney Cricket Ground,not out,23*,15,153.33,,437,23.00,69.26
33,08/02/1987,England,Melbourne Cricket Ground,b G R Dilley,10,17,58.82,,447,22.35,68.98
34,11/02/1987,England,Sydney Cricket Ground,not out,40*,27,148.15,,487,24.35,72.15
35,03/04/1987,Pakistan,Sharjah Cricket Stadium,run out,54,69,78.26,,541,25.76,72.72
36,05/04/1987,India,Sharjah Cricket Stadium,c †S Viswanath b Maninder Singh,5,11,45.45,,546,24.82,72.32
37,09/04/1987,England,Sharjah Cricket Stadium,run out,6,8,75.00,,552,24.00,72.35
38,09/10/1987,India,MA Chidambaram Stadium,run out,7,10,70.00,,559,23.29,72.32
39,13/10/1987,Zimbabwe,MA Chidambaram Stadium,run out,3,11,27.27,,562,22.48,71.68
40,18/10/1987,New Zealand,Nehru Stadium (Indore),did not bat,-,-,-,,562,22.48,71.68
41,22/10/1987,India,Arun Jaitley Stadium,b M Azharuddin,5,10,50.00,,567,21.81,71.41
42,30/10/1987,Zimbabwe,Barabati Stadium,did not bat,-,-,-,,567,21.81,71.41
43,04/11/1987,Pakistan,Gaddafi Stadium,run out,0,2,0.00,,567,21.00,71.23
44,08/11/1987,England,Eden Gardens,did not bat,-,-,-,,567,21.00,71.23
45,02/01/1989,Pakistan,WACA Ground,b Wasim Akram,46,55,83.64,,613,21.89,72.03
46,05/01/1989,West Indies,Melbourne Cricket Ground,run out,1,7,14.29,,614,21.17,71.56
47,08/01/1989,Pakistan,Brisbane Cricket Ground,did not bat,-,-,-,,614,21.17,71.56
48,10/01/1989,Pakistan,Melbourne Cricket Ground,did not bat,-,-,-,,614,21.17,71.56
49,12/01/1989,West Indies,Sydney Cricket Ground,not out,3*,2,150.00,,617,21.28,71.74
50,14/01/1989,West Indies,Melbourne Cricket Ground,b M D Marshall,10,16,62.50,,627,20.90,71.58
51,18/01/1989,West Indies,Sydney Cricket Ground,did not bat,-,-,-,,627,20.90,71.58
52,19/10/1989,England,Lal Bahadur Shastri Stadium,did not bat,-,-,-,,627,20.90,71.58
53,21/10/1989,West Indies,MA Chidambaram Stadium,c R C Haynes b W K M Benjamin,17,17,100.00,,644,20.77,72.12
54,23/10/1989,Pakistan,Brabourne Stadium,lbw b Imran Khan,3,10,30.00,,647,20.22,71.65
55,25/10/1989,Sri Lanka,Nehru Stadium (Margao),not out,6*,11,54.55,,653,20.41,71.44
56,27/10/1989,India,M Chinnaswamy Stadium,c sub b M M Prabhakar,17,19,89.47,,670,20.30,71.81
57,26/12/1989,Sri Lanka,Melbourne Cricket Ground,not out,57*,60,95.00,,727,22.03,73.21
58,30/12/1989,Sri Lanka,WACA Ground,did not bat,-,-,-,,727,22.03,73.21
59,03/01/1990,Pakistan,Melbourne Cricket Ground,did not bat,-,-,-,,727,22.03,73.21
60,04/01/1990,Sri Lanka,Melbourne Cricket Ground,c A Ranatunga b R J Ratnayake,36,78,46.15,,763,22.44,71.24
61,11/02/1990,Pakistan,Brisbane Cricket Ground,not out,31*,28,110.71,,794,23.35,72.25
62,13/02/1990,Pakistan,Sydney Cricket Ground,b Imran Khan,3,7,42.86,,797,22.77,72.06
63,18/02/1990,Sri Lanka,Adelaide Oval,did not bat,-,-,-,,797,22.77,72.06
64,20/02/1990,Pakistan,Sydney Cricket Ground,lbw b Imran Khan,39,36,108.33,,836,23.22,73.20
65,23/02/1990,Pakistan,Melbourne Cricket Ground,did not bat,-,-,-,,836,23.22,73.20
66,25/02/1990,Pakistan,Sydney Cricket Ground,c †Saleem Yousuf b Imran Khan,3,3,100.00,,839,22.68,73.28
67,03/03/1990,India,AMI Stadium,lbw b A K Sharma,12,17,70.59,,851,22.39,73.24
68,04/03/1990,New Zealand,AMI Stadium,c A H Jones b M C Snedden,20,19,105.26,,871,22.33,73.75
69,08/03/1990,India,Seddon Park,did not bat,-,-,-,,871,22.33,73.75
70,10/03/1990,New Zealand,Eden Park,run out,52,51,101.96,,923,23.08,74.92
71,11/03/1990,New Zealand,Eden Park,did not bat,-,-,-,,923,23.08,74.92
72,26/04/1990,New Zealand,Sharjah Cricket Stadium,not out,3*,3,100.00,,926,23.15,74.98
73,30/04/1990,Bangladesh,Sharjah Cricket Stadium,c Gazi Ashraf b Minhajul Abedin,20,37,54.05,,946,23.07,74.37
74,02/05/1990,Sri Lanka,Sharjah Cricket Stadium,b C P H Ramanayake,74,29,255.17,,1020,24.29,78.40
75,04/05/1990,Pakistan,Sharjah Cricket Stadium,c Ijaz Ahmed b Mushtaq Ahmed,33,28,117.86,,1053,24.49,79.23
76,29/11/1990,New Zealand,Sydney Cricket Ground,c †I D S Smith b C Pringle,35,24,145.83,,1088,24.73,80.41
77,02/12/1990,New Zealand,Adelaide Oval,did not bat,-,-,-,,1088,24.73,80.41
78,09/12/1990,England,WACA Ground,did not bat,-,-,-,,1088,24.73,80.41
79,11/12/1990,New Zealand,Melbourne Cricket Ground,b D K Morrison,66,43,153.49,,1154,25.64,82.66
