0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,14/01/1992,India,Sydney Cricket Ground,R J Shastri (b),10.0,2/27,,30.00,2.70,1,13.50
,,,,K Srikkanth (b),,,,,,2,
2.0,06/12/1992,West Indies,WACA Ground,B C Lara (c A R Border),6.0,1/12,,32.00,2.44,3,13.00
3.0,08/12/1992,West Indies,Sydney Cricket Ground,D L Haynes (c S R Waugh),6.0,3/14,,22.00,2.41,4,8.83
,,,,C L Hooper (c M A Taylor),,,,,,5,
,,,,A L Logie (c M A Taylor),,,,,,6,
4.0,10/12/1992,Pakistan,Bellerive Oval,Javed Miandad (lbw),8.0,1/29,,25.71,2.73,7,11.71
5.0,13/12/1992,Pakistan,Adelaide Oval,,9.0,0/36,,33.43,3.03,,16.86
6.0,15/12/1992,West Indies,Melbourne Cricket Ground,P V Simmons (c †I A Healy),10.0,1/45,,36.75,3.33,8,20.38
7.0,10/01/1993,West Indies,Brisbane Cricket Ground,K L T Arthurton (c M A Taylor),10.0,3/33,,32.18,3.32,9,17.82
,,,,D L Haynes (c †I A Healy),,,,,,10,
,,,,R B Richardson (c S R Waugh),,,,,,11,
8.0,12/01/1993,Pakistan,Melbourne Cricket Ground,Wasim Akram (c M E Waugh),10.0,2/37,,31.85,3.38,12,17.92
,,,,Rashid Latif (c †I A Healy),,,,,,13,
9.0,14/01/1993,Pakistan,Sydney Cricket Ground,,10.0,0/53,,36.46,3.62,,22.00
10.0,16/01/1993,West Indies,Sydney Cricket Ground,,5.0,0/30,,38.77,3.76,,24.31
11.0,18/01/1993,West Indies,Melbourne Cricket Ground,A L Logie (c †I A Healy),10.0,1/21,,40.29,3.59,14,24.07
12.0,19/03/1993,New Zealand,Carisbrook,A H Jones (b),9.0,2/17,,38.63,3.44,15,22.13
,,,,J W Wilson (b),,,,,,16,
13.0,21/03/1993,New Zealand,AMI Stadium,M D Crowe (b),10.0,4/38,,33.90,3.47,17,19.60
,,,,M J Greatbatch (c D M Jones),,,,,,18,
,,,,C Z Harris (b),,,,,,19,
,,,,A H Jones (c †I A Healy),,,,,,20,
14.0,24/03/1993,New Zealand,Basin Reserve,R T Latham (lbw),10.0,1/21,,35.14,3.36,21,19.67
15.0,27/03/1993,New Zealand,Seddon Park,C Z Harris (c †I A Healy),10.0,2/46,,34.70,3.45,22,19.96
,,,,K R Rutherford (c †I A Healy),,,,,,23,
16.0,28/03/1993,New Zealand,Eden Park,,10.0,0/49,,37.30,3.55,,22.09
17.0,19/05/1993,England,Old Trafford,G A Hick (b),11.0,1/63,,38.50,3.71,24,23.79
18.0,21/05/1993,England,Edgbaston,G A Hick (c †I A Healy),11.0,1/70,,39.60,3.88,25,25.64
