0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,20/10/2010,India,Dr YS Rajasekhara Reddy Cricket Stadium,-,0,,0/51,0,,,0,,,,20 years 263 days
2.0,07/11/2010,Sri Lanka,Brisbane Cricket Ground,-,0,,4/27,4,19.50,,0,,,,20 years 281 days
3.0,05/02/2012,India,Melbourne Cricket Ground,-,0,,2/33,6,18.50,,0,,,,22 years 5 days
4.0,10/02/2012,Sri Lanka,WACA Ground,14,14,14.00,2/50,8,20.13,,0,,,,22 years 10 days
5.0,12/02/2012,India,Adelaide Oval,-,14,14.00,0/49,8,26.25,1,1,,,,22 years 12 days
6.0,17/02/2012,Sri Lanka,Sydney Cricket Ground,17,31,15.50,0/32,8,30.25,,1,,,,22 years 17 days
7.0,19/02/2012,India,Brisbane Cricket Ground,-,31,15.50,1/36,9,30.89,,1,,,,22 years 19 days
8.0,25/08/2012,Afghanistan,Sharjah Cricket Stadium,1*,32,16.00,4/47,13,25.00,,1,,,,22 years 207 days
9.0,28/08/2012,Pakistan,Sharjah Cricket Stadium,-,32,16.00,5/42,18,20.39,,1,,,,22 years 210 days
10.0,31/08/2012,Pakistan,Sheikh Zayed Stadium,11*,43,21.50,0/43,18,22.78,1,2,,,,22 years 213 days
11.0,03/09/2012,Pakistan,Sharjah Cricket Stadium,-,43,21.50,4/51,22,20.95,,2,,,,22 years 216 days
12.0,11/01/2013,Sri Lanka,Melbourne Cricket Ground,-,43,21.50,1/25,23,21.13,,2,,,,22 years 346 days
13.0,18/01/2013,Sri Lanka,Brisbane Cricket Ground,22*,65,32.50,2/25,25,20.44,1,3,,,,22 years 353 days
14.0,20/01/2013,Sri Lanka,Sydney Cricket Ground,52*,117,58.50,0/1,25,20.48,,3,,,,22 years 355 days
15.0,23/01/2013,Sri Lanka,Bellerive Oval,-,117,58.50,0/48,25,22.40,1,4,,,,22 years 358 days
16.0,01/02/2013,West Indies,WACA Ground,-,117,58.50,5/20,30,19.33,,4,,,,23 years 2 days
17.0,03/02/2013,West Indies,WACA Ground,-,117,58.50,5/32,35,17.49,,4,,,,23 years 4 days
18.0,06/02/2013,West Indies,Manuka Oval,-,117,58.50,1/50,36,18.39,,4,,,,23 years 7 days
19.0,08/06/2013,England,Edgbaston,5,122,40.67,1/75,37,19.92,,4,,,,23 years 129 days
20.0,25/08/2014,Zimbabwe,Harare Sports Club,-,122,40.67,2/23,39,19.49,1,5,,,,24 years 207 days
21.0,27/08/2014,South Africa,Harare Sports Club,-,122,40.67,2/62,41,20.05,,5,,,,24 years 209 days
22.0,31/08/2014,Zimbabwe,Harare Sports Club,3,125,31.25,2/41,43,20.07,,5,,,,24 years 213 days
23.0,02/09/2014,South Africa,Harare Sports Club,1*,126,31.50,0/47,43,21.16,,5,,,,24 years 215 days
24.0,06/09/2014,South Africa,Harare Sports Club,29*,155,38.75,0/27,43,21.79,,5,,,,24 years 219 days
25.0,12/10/2014,Pakistan,Sheikh Zayed Stadium,5,160,32.00,1/33,44,22.05,,5,,,,24 years 255 days
26.0,19/11/2014,South Africa,Manuka Oval,-,160,32.00,4/32,48,20.88,,5,,,,24 years 293 days
27.0,21/11/2014,South Africa,Melbourne Cricket Ground,-,160,32.00,1/40,49,21.27,,5,,,,24 years 295 days
28.0,23/11/2014,South Africa,Sydney Cricket Ground,1*,161,32.20,0/60,49,22.49,,5,,,,24 years 297 days
29.0,16/01/2015,England,Sydney Cricket Ground,0*,161,32.20,4/42,53,21.58,,5,,,,24 years 351 days
30.0,18/01/2015,India,Melbourne Cricket Ground,-,161,32.20,6/43,59,20.12,,5,,,,24 years 353 days
31.0,23/01/2015,England,Bellerive Oval,1*,162,32.40,1/60,60,20.78,1,6,,,,24 years 358 days
32.0,26/01/2015,India,Sydney Cricket Ground,-,162,32.40,1/11,61,20.62,,6,,,,24 years 361 days
33.0,01/02/2015,England,WACA Ground,0*,162,32.40,0/40,61,21.28,,6,,,,25 years 1 days
34.0,14/02/2015,England,Melbourne Cricket Ground,0*,162,32.40,2/47,63,21.35,1,7,,,,25 years 14 days
35.0,28/02/2015,New Zealand,Eden Park,0,162,27.00,6/28,69,19.90,1,8,,,,25 years 28 days
36.0,04/03/2015,Afghanistan,WACA Ground,-,162,27.00,2/18,71,19.59,,8,,,,25 years 32 days
37.0,08/03/2015,Sri Lanka,Sydney Cricket Ground,0,162,23.14,2/29,73,19.45,,8,,,,25 years 36 days
38.0,14/03/2015,Scotland,Bellerive Oval,-,162,23.14,4/14,77,18.62,1,9,,,,25 years 42 days
39.0,20/03/2015,Pakistan,Adelaide Oval,-,162,23.14,2/40,79,18.66,1,10,,,,25 years 48 days
40.0,26/03/2015,India,Sydney Cricket Ground,-,162,23.14,2/28,81,18.54,,10,,,,25 years 54 days
41.0,29/03/2015,New Zealand,Melbourne Cricket Ground,-,162,23.14,2/20,83,18.34,1,11,,,,25 years 57 days
42.0,27/08/2015,Ireland,Civil Service Cricket Club,-,162,23.14,2/34,85,18.31,,11,,,,25 years 208 days
43.0,03/09/2015,England,The Rose Bowl,-,162,23.14,2/55,87,18.52,,11,,,,25 years 215 days
44.0,05/09/2015,England,Lord's,-,162,23.14,1/35,88,18.70,,11,,,,25 years 217 days
45.0,08/09/2015,England,Old Trafford,1,163,20.38,1/79,89,19.38,1,12,,,,25 years 220 days
46.0,12/09/2015,England,Old Trafford,-,163,20.38,1/44,90,19.66,,12,,,,25 years 224 days
47.0,05/06/2016,West Indies,Providence Stadium,-,163,20.38,2/37,92,19.63,,12,,,,26 years 126 days
48.0,11/06/2016,South Africa,Warner Park,-,163,20.38,3/43,95,19.46,,12,,,,26 years 132 days
49.0,19/06/2016,South Africa,Kensington Oval,-,163,20.38,0/8,95,19.55,,12,,,,26 years 140 days
50.0,21/06/2016,West Indies,Kensington Oval,-,163,20.38,3/51,98,19.47,,12,,,,26 years 142 days
51.0,26/06/2016,West Indies,Kensington Oval,17,180,20.00,0/32,98,19.80,,12,,,,26 years 147 days
52.0,21/08/2016,Sri Lanka,R Premadasa Stadium,5*,185,20.56,3/32,101,19.52,,12,,,,26 years 203 days
53.0,24/08/2016,Sri Lanka,R Premadasa Stadium,0,185,18.50,3/53,104,19.47,,12,,,,26 years 206 days
54.0,28/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,12,197,17.91,2/42,106,19.50,,12,,,,26 years 210 days
55.0,31/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,-,197,17.91,1/51,107,19.79,,12,,,,26 years 213 days
56.0,04/09/2016,Sri Lanka,Pallekele International Cricket Stadium,-,197,17.91,3/40,110,19.62,1,13,,,,26 years 217 days
57.0,04/12/2016,New Zealand,Sydney Cricket Ground,11,208,17.33,1/37,111,19.77,,13,,,,26 years 308 days
58.0,06/12/2016,New Zealand,Manuka Oval,-,208,17.33,2/52,113,19.88,1,14,,,,26 years 310 days
59.0,09/12/2016,New Zealand,Melbourne Cricket Ground,0*,208,17.33,3/34,116,19.66,,14,,,,26 years 313 days
60.0,13/01/2017,Pakistan,Brisbane Cricket Ground,10,218,16.77,2/34,118,19.62,1,15,,,,26 years 348 days
61.0,15/01/2017,Pakistan,Melbourne Cricket Ground,3,221,15.79,2/45,120,19.67,,15,,,,26 years 350 days
62.0,22/01/2017,Pakistan,Sydney Cricket Ground,0*,221,15.79,1/42,121,19.85,,15,,,,26 years 357 days
63.0,26/01/2017,Pakistan,Adelaide Oval,6,227,15.13,4/42,125,19.55,1,16,,,,26 years 361 days
64.0,30/01/2017,New Zealand,Eden Park,3,230,14.38,1/59,126,19.87,1,17,,,,27 years 0 days
65.0,05/02/2017,New Zealand,Seddon Park,29*,259,16.19,3/62,129,19.88,1,18,,,,27 years 6 days
66.0,02/06/2017,New Zealand,Edgbaston,-,259,16.19,0/52,129,20.29,,18,,,,27 years 123 days
67.0,05/06/2017,Bangladesh,Kennington Oval,-,259,16.19,4/29,133,19.89,,18,,,,27 years 126 days
68.0,10/06/2017,England,Edgbaston,0,259,15.24,1/52,134,20.13,,18,,,,27 years 131 days
69.0,14/01/2018,England,Melbourne Cricket Ground,0*,259,15.24,2/71,136,20.36,1,19,,,,27 years 349 days
70.0,18/01/2018,England,Brisbane Cricket Ground,3,262,14.56,4/59,140,20.20,,19,,,,27 years 353 days
71.0,21/01/2018,England,Sydney Cricket Ground,-,262,14.56,0/63,140,20.65,,19,,,,27 years 356 days
72.0,28/01/2018,England,Optus Stadium,0,262,13.79,1/63,141,20.95,,19,,,,27 years 363 days
73.0,04/11/2018,South Africa,Optus Stadium,12,274,13.70,0/47,141,21.28,,19,,,,28 years 278 days
