0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,67.1,3,297,7,0,3/29,42.43,57.57,4.42
AMI Stadium,10.0,2,39,1,0,1/39,39.00,60.00,3.90
Bellerive Oval,13.4,0,57,4,0,2/14,14.25,20.50,4.17
Bourda,10.0,0,45,2,0,2/45,22.50,30.00,4.50
Brabourne Stadium,6.0,0,37,0,0,0/37,,,6.17
Brisbane Cricket Ground,37.0,0,182,6,0,2/32,30.33,37.00,4.92
Eden Park,23.2,0,113,2,0,1/27,56.50,70.00,4.84
Gaddafi Stadium,9.0,0,48,1,0,1/48,48.00,54.00,5.33
Kensington Oval,8.0,0,50,1,0,1/50,50.00,48.00,6.25
Lal Bahadur Shastri Stadium,3.0,0,29,0,0,0/29,,,9.67
MA Chidambaram Stadium,10.0,0,71,1,0,1/46,71.00,60.00,7.10
Melbourne Cricket Ground,185.0,9,699,30,1,4/38,23.30,37.00,3.78
Queen's Park Oval,2.0,0,17,0,0,,,,8.50
Sabina Park,9.0,1,48,2,0,2/48,24.00,27.00,5.33
Seddon Park,10.0,2,31,3,0,3/31,10.33,20.00,3.10
Sharjah Cricket Stadium,52.0,4,188,7,0,2/22,26.86,44.57,3.62
Sydney Cricket Ground,187.0,12,730,28,0,3/22,26.07,40.07,3.90
WACA Ground,14.0,0,59,2,0,2/41,29.50,42.00,4.21
Overall (18),656.1,33,2740,97,1,4/38,28.25,40.59,4.18
