0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,05/02/2012,India,Melbourne Cricket Ground,b R Sharma,67,69,97.10,,67,67.00,97.10
2,10/02/2012,Sri Lanka,WACA Ground,c †K C Sangakkara b K M D N Kulasekara,1,5,20.00,,68,34.00,91.89
3,12/02/2012,India,Adelaide Oval,b R Vinay Kumar,16,18,88.89,,84,28.00,91.30
4,17/02/2012,Sri Lanka,Sydney Cricket Ground,run out,15,36,41.67,,99,24.75,77.34
5,19/02/2012,India,Brisbane Cricket Ground,c & b R G Sharma,45,67,67.16,,144,28.80,73.85
6,24/02/2012,Sri Lanka,Bellerive Oval,c D P M D Jayawardene b K M D N Kulasekara,5,7,71.43,,149,24.83,73.76
7,26/02/2012,India,Sydney Cricket Ground,c †M S Dhoni b U T Yadav,56,66,84.85,,205,29.29,76.49
8,02/03/2012,Sri Lanka,Melbourne Cricket Ground,lbw b K M D N Kulasekara,9,12,75.00,,214,26.75,76.43
9,04/03/2012,Sri Lanka,Brisbane Cricket Ground,c H M R K B Herath b K M D N Kulasekara,64,72,88.89,,278,30.89,78.98
10,06/03/2012,Sri Lanka,Adelaide Oval,b T M Dilshan,14,19,73.68,,292,29.20,78.71
11,08/03/2012,Sri Lanka,Adelaide Oval,c †K C Sangakkara b H M R K B Herath,49,74,66.22,,341,31.00,76.63
12,16/03/2012,West Indies,Arnos Vale Ground,c D J J Bravo b S P Narine,0,1,0.00,,341,28.42,76.46
13,18/03/2012,West Indies,Arnos Vale Ground,c K A J Roach b S P Narine,3,10,30.00,,344,26.46,75.44
14,20/03/2012,West Indies,Arnos Vale Ground,b S P Narine,2,11,18.18,,346,24.71,74.09
15,23/03/2012,West Indies,Darren Sammy National Cricket Stadium,c A D Russell b K A Pollard,15,36,41.67,,361,24.07,71.77
16,25/03/2012,West Indies,Darren Sammy National Cricket Stadium,c D M Bravo b K A J Roach,26,17,152.94,,387,24.19,74.42
17,23/06/2012,Ireland,Civil Service Cricket Club,did not bat,-,-,-,,387,24.19,74.42
18,29/06/2012,England,Lord's,run out,27,32,84.38,,414,24.35,75.00
19,01/07/2012,England,Kennington Oval,c S C J Broad b T T Bresnan,6,8,75.00,,420,23.33,75.00
20,07/07/2012,England,Riverside Ground,c †C Kieswetter b S T Finn,0,1,0.00,,420,22.11,74.87
21,10/07/2012,England,Old Trafford,st C Kieswetter b J C Tredwell,12,41,29.27,,432,21.60,71.76
22,25/08/2012,Afghanistan,Sharjah Cricket Stadium,c & b Mohammad Nabi,75,108,69.44,,507,24.14,71.41
23,28/08/2012,Pakistan,Sharjah Cricket Stadium,c Misbah-ul-Haq b Shahid Afridi,10,29,34.48,,517,23.50,69.96
24,31/08/2012,Pakistan,Sheikh Zayed Stadium,b Junaid Khan,7,8,87.50,,524,22.78,70.15
25,03/09/2012,Pakistan,Sharjah Cricket Stadium,b Abdur Rehman,22,46,47.83,,546,22.75,68.85
26,18/01/2013,Sri Lanka,Brisbane Cricket Ground,c T M Dilshan b S L Malinga,8,21,38.10,,554,22.16,68.06
27,20/01/2013,Sri Lanka,Sydney Cricket Ground,c K M D N Kulasekara b N L T C Perera,31,53,58.49,,585,22.50,67.47
28,23/01/2013,Sri Lanka,Bellerive Oval,lbw b K M D N Kulasekara,23,28,82.14,,608,22.52,67.93
29,01/02/2013,West Indies,WACA Ground,did not bat,-,-,-,,608,22.52,67.93
30,03/02/2013,West Indies,WACA Ground,c D J G Sammy b S P Narine,16,28,57.14,,624,22.29,67.61
31,06/02/2013,West Indies,Manuka Oval,not out,4*,5,80.00,,628,22.43,67.67
32,08/02/2013,West Indies,Sydney Cricket Ground,not out,13*,7,185.71,,641,22.89,68.56
33,08/06/2013,England,Edgbaston,c †J C Buttler b J M Anderson,1,4,25.00,,642,22.14,68.37
34,12/06/2013,New Zealand,Edgbaston,lbw b N L McCullum,29,57,50.88,,671,22.37,67.37
35,17/06/2013,Sri Lanka,Kennington Oval,c T M Dilshan b K M D N Kulasekara,31,23,134.78,,702,22.65,68.89
36,03/09/2013,Scotland,Grange Cricket Club,did not bat,-,-,-,,702,22.65,68.89
37,08/09/2013,England,Old Trafford,b W B Rankin,0,1,0.00,,702,21.94,68.82
38,11/09/2013,England,Edgbaston,did not bat,-,-,-,,702,21.94,68.82
39,14/09/2013,England,Sophia Gardens,c M A Carberry b J C Tredwell,36,40,90.00,,738,22.36,69.62
40,16/09/2013,England,The Rose Bowl,c †J C Buttler b B A Stokes,0,1,0.00,,738,21.71,69.56
41,24/01/2014,England,WACA Ground,c A N Cook b R S Bopara,23,42,54.76,,761,21.74,68.99
42,26/01/2014,England,Adelaide Oval,b S C J Broad,31,46,67.39,,792,22.00,68.93
43,14/11/2014,South Africa,WACA Ground,c sub b V D Philander,35,40,87.50,,827,22.35,69.55
44,16/11/2014,South Africa,WACA Ground,c †Q de Kock b M Morkel,19,29,65.52,,846,22.26,69.46
45,19/11/2014,South Africa,Manuka Oval,not out,8*,6,133.33,,854,22.47,69.77
46,21/11/2014,South Africa,Melbourne Cricket Ground,c R McLaren b W D Parnell,52,59,88.14,,906,23.23,70.62
47,23/11/2014,South Africa,Sydney Cricket Ground,b R J Peterson,3,6,50.00,,909,22.73,70.52
48,27/08/2015,Ireland,Civil Service Cricket Club,not out,2*,2,100.00,,911,22.78,70.57
49,03/09/2015,England,The Rose Bowl,not out,71*,50,142.00,,982,24.55,73.23
50,05/09/2015,England,Lord's,c & b B A Stokes,1,2,50.00,,983,23.98,73.19
51,08/09/2015,England,Old Trafford,b S T Finn,42,41,102.44,,1025,24.40,74.06
52,11/09/2015,England,Headingley,not out,50*,26,192.31,,1075,25.60,76.24
53,12/09/2015,England,Old Trafford,did not bat,-,-,-,,1075,25.60,76.24
54,12/01/2016,India,WACA Ground,did not bat,-,-,-,,1075,25.60,76.24
55,15/01/2016,India,Brisbane Cricket Ground,did not bat,-,-,-,,1075,25.60,76.24
56,17/01/2016,India,Melbourne Cricket Ground,c S Dhawan b I Sharma,6,10,60.00,,1081,25.14,76.13
57,20/01/2016,India,Manuka Oval,run out,0,2,0.00,,1081,24.57,76.02
58,23/01/2016,India,Sydney Cricket Ground,c †M S Dhoni b U T Yadav,36,27,133.33,,1117,24.82,77.09
59,03/02/2016,New Zealand,Eden Park,c H M Nicholls b C J Anderson,37,38,97.37,,1154,25.09,77.61
60,06/02/2016,New Zealand,Westpac Stadium,c A F Milne b M J Santner,2,9,22.22,,1156,24.60,77.27
61,08/02/2016,New Zealand,Seddon Park,c M J Guptill b A F Milne,17,26,65.38,,1173,24.44,77.07
62,05/06/2016,West Indies,Providence Stadium,did not bat,-,-,-,,1173,24.44,77.07
63,07/06/2016,South Africa,Providence Stadium,c †Q de Kock b K Rabada,2,11,18.18,,1175,23.98,76.65
64,11/06/2016,South Africa,Warner Park,lbw b K Rabada,24,14,171.43,,1199,23.98,77.50
65,13/06/2016,West Indies,Warner Park,b J O Holder,5,3,166.67,,1204,23.61,77.68
66,19/06/2016,South Africa,Kensington Oval,did not bat,-,-,-,,1204,23.61,77.68
67,21/06/2016,West Indies,Kensington Oval,did not bat,-,-,-,,1204,23.61,77.68
68,26/06/2016,West Indies,Kensington Oval,not out,57*,52,109.62,,1261,24.73,78.71
69,21/08/2016,Sri Lanka,R Premadasa Stadium,c T M Dilshan b P A D L R Sandakan,26,34,76.47,,1287,24.75,78.67
70,24/08/2016,Sri Lanka,R Premadasa Stadium,c M D Gunathilaka b N L T C Perera,76,88,86.36,,1363,25.72,79.06
71,28/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,st M D K J Perera b M D K Perera,42,46,91.30,,1405,26.02,79.38
72,31/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,not out,8*,5,160.00,,1413,26.17,79.61
73,04/09/2016,Sri Lanka,Pallekele International Cricket Stadium,c †M D K J Perera b M D K Perera,3,13,23.08,,1416,25.75,79.19
74,27/09/2016,Ireland,Willowmoore Park,did not bat,-,-,-,,1416,25.75,79.19
75,30/09/2016,South Africa,SuperSport Park,run out,5,10,50.00,,1421,25.38,79.03
