0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,05/01/1971,England,Melbourne Cricket Ground,c †A P E Knott b B L D'Oliveira,41,51,80.39,,41,41.00,80.39
2,24/08/1972,England,Old Trafford,lbw b R A Woolmer,2,7,28.57,,43,21.50,74.14
3,28/08/1972,England,Edgbaston,b B Wood,15,19,78.95,,58,19.33,75.32
4,30/03/1974,New Zealand,Carisbrook,did not bat,-,-,-,,58,19.33,75.32
5,31/03/1974,New Zealand,AMI Stadium,b R O Collinge,19,34,55.88,,77,19.25,69.37
6,01/01/1975,England,Melbourne Cricket Ground,b C M Old,18,20,90.00,,95,19.00,72.52
7,07/06/1975,Pakistan,Headingley,c Sarfraz Nawaz b Naseer Malik,2,13,15.38,,97,16.17,67.36
8,11/06/1975,Sri Lanka,Kennington Oval,c A P B Tennekoon b H S Pieris,59,66,89.39,,156,22.29,74.29
9,14/06/1975,West Indies,Kennington Oval,run out,7,18,38.89,,163,20.38,71.49
10,18/06/1975,England,Headingley,not out,20*,43,46.51,,183,22.88,67.53
11,21/06/1975,West Indies,Lord's,b C H Lloyd,35,51,68.63,,218,24.22,67.70
12,02/06/1977,England,Old Trafford,c D L Amiss b C M Old,0,6,0.00,,218,21.80,66.46
13,06/06/1977,England,Kennington Oval,c J M Brearley b D L Underwood,12,18,66.67,,230,20.91,66.47
14,08/12/1979,England,Melbourne Cricket Ground,c D W Randall b G A Gooch,12,22,54.55,,242,20.17,65.76
15,11/12/1979,England,Sydney Cricket Ground,c †D L Bairstow b I T Botham,34,40,85.00,,276,21.23,67.65
16,25/11/1980,New Zealand,Sydney Cricket Ground,not out,26*,26,100.00,,302,23.23,69.59
17,06/12/1980,India,Melbourne Cricket Ground,st S M H Kirmani b D R Doshi,27,31,87.10,,329,23.50,70.75
18,07/12/1980,New Zealand,Melbourne Cricket Ground,lbw b S L Boock,7,11,63.64,,336,22.40,70.59
19,18/12/1980,India,Sydney Cricket Ground,did not bat,-,-,-,,336,22.40,70.59
20,08/01/1981,India,Sydney Cricket Ground,did not bat,-,-,-,,336,22.40,70.59
21,11/01/1981,India,Melbourne Cricket Ground,not out,43*,67,64.18,,379,25.27,69.80
22,13/01/1981,New Zealand,Sydney Cricket Ground,not out,50*,72,69.44,,429,28.60,69.76
23,15/01/1981,India,Sydney Cricket Ground,b K D Ghavri,38,53,71.70,,467,29.19,69.91
24,21/01/1981,New Zealand,Sydney Cricket Ground,run out,16,25,64.00,,483,28.41,69.70
25,29/01/1981,New Zealand,Sydney Cricket Ground,b B J McKechnie,20,30,66.67,,503,27.94,69.57
26,31/01/1981,New Zealand,Melbourne Cricket Ground,not out,4*,4,100.00,,507,28.17,69.74
27,01/02/1981,New Zealand,Melbourne Cricket Ground,not out,6*,5,120.00,,513,28.50,70.08
28,03/02/1981,New Zealand,Sydney Cricket Ground,did not bat,-,-,-,,513,28.50,70.08
No. of Innings Played = 24,No. of Innings Played = 24,No. of Innings Played = 24,No. of Innings Played = 24,No. of Innings Played = 24,No. of Innings Played = 24,No. of Innings Played = 24,No. of Innings Played = 24,No. of Innings Played = 24,No. of Innings Played = 24,,
