0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,24/08/1972,England,Old Trafford,,3.0,0/16,,,5.33,,
2.0,28/08/1972,England,Edgbaston,A P E Knott (c A A Mallett),8.0,2/24,,33.00,3.64,1,20.00
,,,,R A Woolmer (c †R W Marsh),,,,,,2,
3.0,31/03/1974,New Zealand,AMI Stadium,K J Wadsworth (c I M Chappell),7.0,1/58,,40.67,4.82,3,32.67
4.0,01/01/1975,England,Melbourne Cricket Ground,,3.0,0/32,,48.67,5.34,,43.33
5.0,07/06/1975,Pakistan,Headingley,Mushtaq Mohammad (c G S Chappell),6.0,1/29,,45.50,5.24,4,39.75
6.0,11/06/1975,Sri Lanka,Kennington Oval,,6.0,0/33,,54.50,5.28,,48.00
7.0,21/06/1975,West Indies,Lord's,,5.0,0/23,,62.00,5.20,,53.75
8.0,08/12/1979,England,Melbourne Cricket Ground,,2.0,0/12,,65.00,5.24,,56.75
9.0,11/12/1979,England,Sydney Cricket Ground,,3.0,0/24,,69.50,5.42,,62.75
10.0,07/12/1980,New Zealand,Melbourne Cricket Ground,,6.0,0/22,,78.50,5.22,,68.25
