0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,51.0,4,237,7,0,2/13,33.86,43.71,4.65
Arnos Vale Ground,24.0,6,89,5,0,3/30,17.80,28.80,3.71
Bellerive Oval,20.0,0,86,4,0,2/36,21.50,30.00,4.30
Brabourne Stadium,11.0,0,45,3,0,2/11,15.00,22.00,4.09
Brisbane Cricket Ground,51.5,1,239,13,1,4/36,18.38,23.92,4.61
Castle Avenue,4.0,0,26,1,0,1/26,26.00,24.00,6.50
Civil Service Cricket Club,2.0,0,12,0,0,,,,6.00
County Ground (Bristol),9.3,0,42,0,0,0/42,,,4.42
Darren Sammy National Cricket Stadium,28.5,0,148,5,0,2/44,29.60,34.60,5.13
Eden Park,21.0,1,125,7,0,3/58,17.86,18.00,5.95
Edgbaston,10.0,1,37,1,0,1/26,37.00,60.00,3.70
Etihad Stadium,49.3,2,227,9,1,4/39,25.22,33.00,4.59
Grange Cricket Club,7.0,0,30,3,0,3/30,10.00,14.00,4.29
Gymkhana Club Ground,31.3,4,97,4,0,2/13,24.25,47.25,3.08
Harare Sports Club,8.0,0,38,0,0,0/38,,,4.75
Headingley,3.0,0,16,0,0,0/16,,,5.33
Kennington Oval,22.0,0,120,2,0,1/34,60.00,66.00,5.45
Kensington Oval,7.0,0,49,1,0,1/49,49.00,42.00,7.00
Kingsmead,10.0,0,42,0,0,0/42,,,4.20
Kinrara Academy Oval,24.0,0,115,7,1,4/43,16.43,20.57,4.79
Lord's,34.0,1,184,4,0,2/26,46.00,51.00,5.41
M Chinnaswamy Stadium,18.0,1,96,1,0,1/22,96.00,108.00,5.33
Maharashtra Cricket Association Stadium,8.0,0,31,2,0,2/31,15.50,24.00,3.88
Mahinda Rajapaksha International Cricket Stadium,14.3,0,87,3,0,2/58,29.00,29.00,6.00
Manuka Oval,6.0,0,47,0,0,,,,7.83
Marrara Cricket Ground,9.0,0,13,2,0,2/8,6.50,27.00,1.44
McLean Park,9.0,1,47,1,0,1/47,47.00,54.00,5.22
Melbourne Cricket Ground,87.2,1,446,3,0,1/31,148.67,174.67,5.11
National Cricket Stadium (Grenada),17.0,1,65,4,0,2/22,16.25,25.50,3.82
Nehru Stadium (Guwahati),8.0,0,27,2,0,2/27,13.50,24.00,3.38
Newlands,16.0,0,92,3,0,2/46,30.67,32.00,5.75
Old Trafford,8.0,1,31,1,0,1/17,31.00,48.00,3.88
Pallekele International Cricket Stadium,2.0,0,12,0,0,0/12,,,6.00
Punjab Cricket Association IS Bindra Stadium,31.4,1,178,6,0,3/29,29.67,31.67,5.62
R Premadasa Stadium,26.0,0,108,2,0,1/20,54.00,78.00,4.15
Rajiv Gandhi International Stadium,8.4,0,47,3,0,3/47,15.67,17.33,5.42
Reliance Stadium,10.0,0,70,2,0,2/70,35.00,30.00,7.00
Riverside Ground,14.0,0,68,2,0,1/12,34.00,42.00,4.86
Sardar Patel Stadium,10.0,0,44,1,0,1/37,44.00,60.00,4.40
Sawai Mansingh Stadium,12.0,0,63,3,0,3/16,21.00,24.00,5.25
Seddon Park,16.0,0,114,4,0,2/26,28.50,24.00,7.13
Senwes Park,6.0,0,40,0,0,0/40,,,6.67
Shere Bangla National Stadium,24.0,0,119,3,0,2/49,39.67,48.00,4.96
Sinhalese Sports Club Ground,8.2,1,26,2,0,2/7,13.00,25.00,3.12
Sir Vivian Richards Stadium,8.4,0,35,0,0,0/4,,,4.04
Sophia Gardens,13.0,0,52,1,0,1/43,52.00,78.00,4.00
St George's Park,22.5,0,116,2,0,2/49,58.00,68.50,5.08
St Lawrence Ground,10.0,0,43,3,0,3/43,14.33,20.00,4.30
SuperSport Park,34.4,1,156,4,0,2/32,39.00,52.00,4.50
Sydney Cricket Ground,75.5,4,428,11,0,2/9,38.91,41.36,5.64
The Rose Bowl,33.0,1,182,8,0,3/36,22.75,24.75,5.52
Trent Bridge,10.0,0,60,2,0,2/60,30.00,30.00,6.00
Vidarbha Cricket Association Stadium,14.0,1,107,1,0,1/9,107.00,84.00,7.64
WACA Ground,11.0,0,75,4,0,3/27,18.75,16.50,6.82
Wanderers Stadium,7.0,0,34,2,0,2/34,17.00,21.00,4.86
Warner Park,27.0,2,120,3,0,1/23,40.00,54.00,4.44
Westpac Stadium,12.0,1,59,1,0,1/31,59.00,72.00,4.92
Overall (57),1077.4,37,5342,168,3,4/36,31.80,38.49,4.96
