0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Khan Shaheb Osman Ali Stadium,2,2,0,0,1,0,77,78,39.00,67.83,0,0
Mahinda Rajapaksha International Cricket Stadium,2,1,0,0,0,0,13,13,13.00,65.00,0,0
Manuka Oval,1,1,0,0,0,0,29,29,29.00,52.73,1,0
Melbourne Cricket Ground,1,1,0,0,0,0,29,29,29.00,67.44,0,0
National Cricket Stadium (Grenada),2,2,0,1,0,0,109,116,58.00,79.45,0,0
Pallekele International Cricket Stadium,1,1,0,0,0,0,40,40,40.00,86.96,1,0
Providence Stadium,2,2,0,0,0,1,23,23,11.50,191.67,0,0
R Premadasa Stadium,1,1,0,0,0,0,14,14,14.00,58.33,0,0
Saxton Oval,1,0,0,0,0,0,0,0,,,0,0
Sheikh Abu Naser Stadium,2,2,0,1,0,0,120,161,80.50,77.78,0,0
Shere Bangla National Stadium,19,18,0,1,1,4,100,447,24.83,68.98,8,0
Warner Park,2,2,0,0,0,1,10,10,5.00,30.30,0,0
Zahur Ahmed Chowdhury Stadium,2,2,0,0,1,0,80,92,46.00,66.19,0,0
Overall (13),38,35,0,3,3,6,120,1052,30.06,70.70,10,0
