0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,12/03/2008,South Africa,Shere Bangla National Stadium,11,11,11.00,,0,,,0,,,,22 years 162 days
2.0,14/03/2008,South Africa,Shere Bangla National Stadium,20,31,15.50,,0,,,0,,,,22 years 164 days
3.0,24/06/2008,United Arab Emirates,Gaddafi Stadium,2,33,11.00,,0,,,0,,,,22 years 266 days
4.0,25/06/2008,Sri Lanka,Gaddafi Stadium,1,34,8.50,,0,,,0,,,,22 years 267 days
5.0,28/06/2008,India,National Stadium (Karachi),6,40,8.00,,0,,,0,,,,22 years 270 days
6.0,30/06/2008,Sri Lanka,National Stadium (Karachi),47,87,14.50,,0,,,0,,,,22 years 272 days
7.0,04/07/2008,Pakistan,National Stadium (Karachi),3,90,12.86,,0,,,0,,,,22 years 276 days
8.0,11/03/2012,Pakistan,Shere Bangla National Stadium,30,120,15.00,,0,,,0,,,,26 years 161 days
9.0,16/03/2012,India,Shere Bangla National Stadium,5,125,13.89,,0,,,0,,,,26 years 166 days
10.0,20/03/2012,Sri Lanka,Shere Bangla National Stadium,6,131,13.10,,0,,1,1,,,,26 years 170 days
11.0,22/03/2012,Pakistan,Shere Bangla National Stadium,16,147,13.36,,0,,,1,,,,26 years 172 days
