0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,12/09/2004,South Africa,Edgbaston,not out,1*,13,7.69,,1,,7.69
2,15/09/2004,West Indies,The Rose Bowl,c D J J Bravo b C H Gayle,4,21,19.05,,5,5.00,14.71
3,02/11/2004,New Zealand,MA Aziz Stadium,not out,0*,7,0.00,,5,5.00,12.20
4,05/11/2004,New Zealand,Bangabandhu National Stadium,not out,4*,4,100.00,,9,9.00,20.00
5,23/12/2004,India,MA Aziz Stadium,did not bat,-,-,-,,9,9.00,20.00
6,26/12/2004,India,Bangabandhu National Stadium,not out,3*,2,150.00,,12,12.00,25.53
7,20/01/2005,Zimbabwe,Bangabandhu National Stadium,run out,2,4,50.00,,14,7.00,27.45
8,26/01/2005,Zimbabwe,MA Aziz Stadium,b T Panyangara,2,4,50.00,,16,5.33,29.09
9,29/01/2005,Zimbabwe,Bangabandhu National Stadium,not out,6*,7,85.71,,22,7.33,35.48
10,31/01/2005,Zimbabwe,Bangabandhu National Stadium,did not bat,-,-,-,,22,7.33,35.48
11,16/06/2005,England,Kennington Oval,c †G O Jones b D Gough,6,23,26.09,,28,7.00,32.94
12,18/06/2005,Australia,Sophia Gardens,did not bat,-,-,-,,28,7.00,32.94
13,21/06/2005,England,Trent Bridge,not out,2*,6,33.33,,30,7.50,32.97
14,25/06/2005,Australia,Old Trafford,not out,0*,1,0.00,,30,7.50,32.61
15,26/06/2005,England,Headingley,did not bat,-,-,-,,30,7.50,32.61
16,02/09/2005,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,,30,7.50,32.61
17,22/02/2006,Sri Lanka,Shaheed Chandu Stadium,did not bat,-,-,-,,30,7.50,32.61
18,30/08/2008,Australia,Marrara Cricket Ground,c M J Clarke b C L White,0,6,0.00,,30,6.00,30.61
19,02/09/2008,Australia,Marrara Cricket Ground,lbw b C L White,0,1,0.00,,30,5.00,30.30
20,10/01/2009,Zimbabwe,Shere Bangla National Stadium,not out,3*,13,23.08,,33,5.50,29.46
21,16/01/2009,Sri Lanka,Shere Bangla National Stadium,lbw b M Muralitharan,0,2,0.00,,33,4.71,28.95
22,19/01/2009,Zimbabwe,Shere Bangla National Stadium,st T Taibu b R W Price,0,9,0.00,,33,4.13,26.83
23,21/01/2009,Zimbabwe,Shere Bangla National Stadium,did not bat,-,-,-,,33,4.13,26.83
24,23/01/2009,Zimbabwe,Shere Bangla National Stadium,did not bat,-,-,-,,33,4.13,26.83
25,31/07/2009,West Indies,Warner Park,did not bat,-,-,-,,33,4.13,26.83
26,09/08/2009,Zimbabwe,Queens Sports Club,did not bat,-,-,-,,33,4.13,26.83
27,11/08/2009,Zimbabwe,Queens Sports Club,not out,1*,1,100.00,,34,4.25,27.42
28,29/10/2009,Zimbabwe,Shere Bangla National Stadium,did not bat,-,-,-,,34,4.25,27.42
29,31/10/2009,Zimbabwe,Shere Bangla National Stadium,did not bat,-,-,-,,34,4.25,27.42
30,03/11/2009,Zimbabwe,Zahur Ahmed Chowdhury Stadium,did not bat,-,-,-,,34,4.25,27.42
31,05/11/2009,Zimbabwe,Zahur Ahmed Chowdhury Stadium,not out,1*,4,25.00,,35,4.38,27.34
32,05/02/2010,New Zealand,McLean Park,not out,0*,0,-,,35,4.38,27.34
33,20/07/2010,Netherlands,Titwood,did not bat,-,-,-,,35,4.38,27.34
34,05/10/2010,New Zealand,Shere Bangla National Stadium,not out,0*,0,-,,35,4.38,27.34
35,16/08/2011,Zimbabwe,Harare Sports Club,not out,0*,0,-,,35,4.38,27.34
36,18/10/2011,West Indies,Zahur Ahmed Chowdhury Stadium,did not bat,-,-,-,,35,4.38,27.34
37,20/03/2012,Sri Lanka,Shere Bangla National Stadium,did not bat,-,-,-,,35,4.38,27.34
38,22/03/2012,Pakistan,Shere Bangla National Stadium,did not bat,-,-,-,,35,4.38,27.34
No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,,
