0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,04/01/2010,Sri Lanka,Shere Bangla National Stadium,K C Sangakkara (c †Mushfiqur Rahim),5.0,1/39,,30.00,7.80,1,39.00
2.0,11/01/2010,India,Shere Bangla National Stadium,K D Karthik (c †Mushfiqur Rahim),10.0,1/63,,45.00,6.80,2,51.00
3.0,05/02/2010,New Zealand,McLean Park,J E C Franklin (c †Mushfiqur Rahim),10.0,4/68,,25.00,6.80,3,28.33
,,,,J D P Oram (b),,,,,,4,
,,,,T G Southee (b),,,,,,5,
,,,,P J Ingram (c Mohammad Ashraful),,,,,,6,
4.0,08/02/2010,New Zealand,University Oval,B B McCullum (b),7.0,3/49,,21.33,6.84,7,24.33
,,,,L R P L Taylor (c Mahmudullah),,,,,,8,
,,,,N T Broom (lbw),,,,,,9,
5.0,11/02/2010,New Zealand,AMI Stadium,,8.0,0/46,,26.67,6.63,,29.44
6.0,28/02/2010,England,Shere Bangla National Stadium,,2.0,0/11,,28.00,6.57,,30.67
7.0,02/03/2010,England,Shere Bangla National Stadium,C Kieswetter (c Imrul Kayes),6.5,1/55,,29.30,6.78,10,33.10
8.0,05/03/2010,England,Zahur Ahmed Chowdhury Stadium,E J G Morgan (c Tamim Iqbal),5.0,1/35,,29.36,6.80,11,33.27
9.0,16/06/2010,India,Rangiri Dambulla International Stadium,,6.0,0/26,,32.64,6.55,,35.64
10.0,18/06/2010,Sri Lanka,Rangiri Dambulla International Stadium,D P M D Jayawardene (c Shakib Al Hasan),10.0,2/59,,32.23,6.46,12,34.69
,,,,K C Sangakkara (c Shakib Al Hasan),,,,,,13,
11.0,21/06/2010,Pakistan,Rangiri Dambulla International Stadium,Shahid Afridi (c Suhrawadi Shuvo),10.0,3/95,,29.94,6.84,14,34.13
,,,,Kamran Akmal (c Tamim Iqbal),,,,,,15,
,,,,Umar Akmal (b),,,,,,16,
12.0,08/07/2010,England,Trent Bridge,,5.0,0/46,,31.81,6.98,,37.00
13.0,10/07/2010,England,County Ground (Bristol),L J Wright (c Junaid Siddique),9.3,2/38,,31.44,6.68,17,35.00
,,,,I J L Trott (c †Jahurul Islam),,,,,,18,
14.0,12/07/2010,England,Edgbaston,T T Bresnan (c Tamim Iqbal),9.0,2/97,,31.00,7.04,19,36.35
,,,,E J G Morgan (c Tamim Iqbal),,,,,,20,
15.0,16/07/2010,Ireland,Civil Service Cricket Club,D T Johnston (c Jahurul Islam),10.0,4/59,,28.33,6.94,21,32.75
,,,,J F Mooney (c †Mushfiqur Rahim),,,,,,22,
,,,,A R Cusack (c †Mushfiqur Rahim),,,,,,23,
,,,,P R Stirling (c †Mushfiqur Rahim),,,,,,24,
