0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,09/02/2007,Zimbabwe,Harare Sports Club,c G B Brent b A J Ireland,5,8,62.50,,5,5.00,62.50
2,10/02/2007,Zimbabwe,Harare Sports Club,c V Sibanda b E C Rainsford,30,32,93.75,,35,17.50,87.50
3,25/02/2007,Bermuda,Antigua Recreation Ground,c O L Pitcher b J J Tucker,11,19,57.89,,46,15.33,77.97
4,28/02/2007,Canada,Antigua Recreation Ground,run out,11,29,37.93,,57,14.25,64.77
5,17/03/2007,India,Queen's Park Oval,c †M S Dhoni b M M Patel,51,53,96.23,,108,21.60,76.60
6,21/03/2007,Sri Lanka,Queen's Park Oval,c †K C Sangakkara b S L Malinga,6,7,85.71,,114,19.00,77.03
7,25/03/2007,Bermuda,Queen's Park Oval,c K A D Hurdle b S Mukuddem,1,2,50.00,,115,16.43,76.67
8,31/03/2007,Australia,Sir Vivian Richards Stadium,c G B Hogg b N W Bracken,3,14,21.43,,118,14.75,71.95
9,02/04/2007,New Zealand,Sir Vivian Richards Stadium,st B B McCullum b J D P Oram,29,54,53.70,,147,16.33,67.43
10,07/04/2007,South Africa,Providence Stadium,c †M V Boucher b A Nel,38,59,64.41,,185,18.50,66.79
11,11/04/2007,England,Kensington Oval,c P D Collingwood b S I Mahmood,8,7,114.29,,193,17.55,67.96
12,15/04/2007,Ireland,Kensington Oval,b D T Johnston,29,59,49.15,,222,18.50,64.72
13,19/04/2007,West Indies,Kensington Oval,run out,7,20,35.00,,229,17.62,63.09
14,10/05/2007,India,Shere Bangla National Stadium,c V Sehwag b D Mongia,45,53,84.91,,274,19.57,65.87
15,12/05/2007,India,Shere Bangla National Stadium,run out,7,12,58.33,,281,18.73,65.65
16,20/07/2007,Sri Lanka,P Sara Oval,c D P M D Jayawardene b C R D Fernando,11,39,28.21,,292,18.25,62.53
17,23/07/2007,Sri Lanka,R Premadasa Stadium,b S L Malinga,3,17,17.65,,295,17.35,60.95
18,25/07/2007,Sri Lanka,R Premadasa Stadium,c C K Kapugedera b S T Jayasuriya,54,73,73.97,,349,19.39,62.66
19,26/12/2007,New Zealand,Eden Park,c M R Gillespie b J D P Oram,50,66,75.76,,399,21.00,64.04
20,28/12/2007,New Zealand,McLean Park,c †B B McCullum b K D Mills,43,49,87.76,,442,22.10,65.77
21,31/12/2007,New Zealand,Queenstown Events Centre,c S B Styris b M J Mason,13,56,23.21,,455,21.67,62.50
22,09/03/2008,South Africa,Zahur Ahmed Chowdhury Stadium,c J A Morkel b P L Harris,82,98,83.67,,537,24.41,65.01
23,12/03/2008,South Africa,Shere Bangla National Stadium,b A Nel,0,3,0.00,,537,23.35,64.78
24,14/03/2008,South Africa,Shere Bangla National Stadium,c †A B de Villiers b J A Morkel,8,31,25.81,,545,22.71,63.37
25,18/03/2008,Ireland,Shere Bangla National Stadium,c G J Thompson b D Langford-Smith,13,18,72.22,,558,22.32,63.55
26,20/03/2008,Ireland,Shere Bangla National Stadium,c K J O'Brien b W K McCallan,46,84,54.76,,604,23.23,62.79
27,22/03/2008,Ireland,Shere Bangla National Stadium,c W T S Porterfield b D Langford-Smith,129,136,94.85,,733,27.15,66.76
28,08/04/2008,Pakistan,Gaddafi Stadium,b Sohail Tanvir,5,5,100.00,,738,26.36,66.91
29,11/04/2008,Pakistan,Iqbal Stadium,c Umar Gul b Shahid Afridi,60,78,76.92,,798,27.52,67.57
30,13/04/2008,Pakistan,Gaddafi Stadium,run out,63,69,91.30,,861,28.70,68.88
31,16/04/2008,Pakistan,Multan Cricket Stadium,c Salman Butt b Mohammad Asif,10,12,83.33,,871,28.10,69.02
32,19/04/2008,Pakistan,National Stadium (Karachi),c †Kamran Akmal b Umar Gul,9,14,64.29,,880,27.50,68.97
33,08/06/2008,Pakistan,Shere Bangla National Stadium,c †Kamran Akmal b Shahid Afridi,29,38,76.32,,909,27.55,69.18
34,12/06/2008,India,Shere Bangla National Stadium,c †M S Dhoni b P Kumar,0,5,0.00,,909,26.74,68.92
35,24/06/2008,United Arab Emirates,Gaddafi Stadium,run out,40,66,60.61,,949,27.11,68.52
36,25/06/2008,Sri Lanka,Gaddafi Stadium,b K M D N Kulasekara,28,40,70.00,,977,27.14,68.56
37,28/06/2008,India,National Stadium (Karachi),c †M S Dhoni b I Sharma,55,67,82.09,,1032,27.89,69.17
38,30/06/2008,Sri Lanka,National Stadium (Karachi),c †T M Dilshan b W P U J C Vaas,8,15,53.33,,1040,27.37,69.01
39,04/07/2008,Pakistan,National Stadium (Karachi),c Younis Khan b Abdur Rauf,26,41,63.41,,1066,27.33,68.86
40,30/08/2008,Australia,Marrara Cricket Ground,c B Geeves b M G Johnson,21,31,67.74,,1087,27.18,68.84
41,02/09/2008,Australia,Marrara Cricket Ground,c D J Hussey b N W Bracken,0,1,0.00,,1087,26.51,68.80
42,06/09/2008,Australia,Marrara Cricket Ground,c S R Clark b S R Watson,63,69,91.30,,1150,27.38,69.74
43,09/10/2008,New Zealand,Shere Bangla National Stadium,c S B Styris b K D Mills,12,12,100.00,,1162,27.02,69.96
44,11/10/2008,New Zealand,Shere Bangla National Stadium,lbw b K D Mills,0,2,0.00,,1162,26.41,69.87
45,14/10/2008,New Zealand,Zahur Ahmed Chowdhury Stadium,c †B B McCullum b J S Patel,35,39,89.74,,1197,26.60,70.33
46,07/11/2008,South Africa,Senwes Park,run out,24,39,61.54,,1221,26.54,70.13
47,09/11/2008,South Africa,Willowmoore Park,c J-P Duminy b D W Steyn,41,22,186.36,,1262,26.85,71.58
48,10/01/2009,Zimbabwe,Shere Bangla National Stadium,run out,13,40,32.50,,1275,26.56,70.72
49,14/01/2009,Sri Lanka,Shere Bangla National Stadium,run out,9,13,69.23,,1284,26.20,70.70
50,16/01/2009,Sri Lanka,Shere Bangla National Stadium,c †K C Sangakkara b K M D N Kulasekara,18,42,42.86,,1302,26.04,70.08
51,19/01/2009,Zimbabwe,Shere Bangla National Stadium,c †T Taibu b H Masakadza,13,54,24.07,,1315,25.78,68.78
52,21/01/2009,Zimbabwe,Shere Bangla National Stadium,b T Mupariwa,21,27,77.78,,1336,25.69,68.90
53,23/01/2009,Zimbabwe,Shere Bangla National Stadium,c †T Taibu b C B Mpofu,34,49,69.39,,1370,25.85,68.91
54,26/07/2009,West Indies,Windsor Park,c †A D S Fletcher b K A J Roach,0,1,0.00,,1370,25.37,68.88
55,28/07/2009,West Indies,Windsor Park,c D E Bernard b K A J Roach,29,41,70.73,,1399,25.44,68.92
56,31/07/2009,West Indies,Warner Park,c K O A Powell b D J G Sammy,30,27,111.11,,1429,25.52,69.47
57,09/08/2009,Zimbabwe,Queens Sports Club,c C K Coventry b E Chigumbura,63,68,92.65,,1492,26.18,70.21
58,11/08/2009,Zimbabwe,Queens Sports Club,run out,79,105,75.24,,1571,27.09,70.45
59,14/08/2009,Zimbabwe,Queens Sports Club,c M A Vermeulen b T Mupariwa,0,1,0.00,,1571,26.63,70.42
60,16/08/2009,Zimbabwe,Queens Sports Club,c sub b R W Price,154,138,111.59,,1725,28.75,72.82
61,18/08/2009,Zimbabwe,Queens Sports Club,b R W Price,4,23,17.39,,1729,28.34,72.28
62,27/10/2009,Zimbabwe,Shere Bangla National Stadium,c †T Taibu b E Chigumbura,5,11,45.45,,1734,27.97,72.16
63,29/10/2009,Zimbabwe,Shere Bangla National Stadium,c H Masakadza b C J Chibhabha,26,19,136.84,,1760,27.94,72.67
64,31/10/2009,Zimbabwe,Shere Bangla National Stadium,st B R M Taylor b A G Cremer,80,72,111.11,,1840,28.75,73.78
65,03/11/2009,Zimbabwe,Zahur Ahmed Chowdhury Stadium,c A G Cremer b R W Price,22,26,84.62,,1862,28.65,73.89
66,05/11/2009,Zimbabwe,Zahur Ahmed Chowdhury Stadium,run out,2,5,40.00,,1864,28.24,73.82
67,04/01/2010,Sri Lanka,Shere Bangla National Stadium,c R A S Lakmal b T M Dilshan,40,46,86.96,,1904,28.42,74.06
68,07/01/2010,India,Shere Bangla National Stadium,c G Gambhir b S Sreesanth,60,42,142.86,,1964,28.88,75.16
