0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,18/08/2007,Netherlands,Hazelaarweg,14,14,14.00,,0,,,0,1,,1,23 years 339 days
2.0,20/08/2007,Netherlands,Hazelaarweg,1,15,7.50,,0,,,0,,1,2,23 years 341 days
3.0,25/10/2007,Kenya,Gymkhana Club Ground,12,27,9.00,,0,,,0,,,2,24 years 42 days
4.0,27/10/2007,Kenya,Gymkhana Club Ground,0,27,6.75,,0,,,0,,,2,24 years 44 days
5.0,28/10/2007,Kenya,Gymkhana Club Ground,72,99,19.80,,0,,,0,,,2,24 years 45 days
6.0,28/06/2008,Canada,Maple Leaf North - West Ground,18*,117,23.40,,0,,,0,,1,3,24 years 289 days
7.0,29/06/2008,Canada,Maple Leaf North - West Ground,35,152,25.33,,0,,,0,1,1,5,24 years 290 days
8.0,01/07/2008,Canada,Maple Leaf North - West Ground,20*,172,28.67,,0,,,0,2,1,8,24 years 292 days
9.0,08/08/2008,Netherlands,VRA Ground,31,203,29.00,,0,,,0,,,8,24 years 330 days
10.0,18/08/2008,Canada,Maple Leaf North - West Ground,45,248,31.00,,0,,,0,2,,10,24 years 340 days
11.0,20/08/2008,West Indies,Maple Leaf North - West Ground,4,252,28.00,,0,,,0,1,,11,24 years 342 days
