0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,18/05/2006,Zimbabwe,Queen's Park Oval,did not bat,-,-,-,,0,,
2,19/08/2006,Canada,"Cricket, Skating & Curling Club",did not bat,-,-,-,,0,,
3,21/08/2006,Canada,"Cricket, Skating & Curling Club",did not bat,-,-,-,,0,,
4,11/11/2006,Kenya,Mombasa Sports Ground,b S O Tikolo,7,15,46.67,,7,7.00,46.67
5,12/11/2006,Kenya,Mombasa Sports Ground,not out,0*,1,0.00,,7,7.00,43.75
6,30/11/2006,Canada,Willowmoore Park,c U Bhatti b G R Codrington,12,13,92.31,,19,9.50,65.52
7,02/12/2006,Netherlands,Willowmoore Park,did not bat,-,-,-,,19,9.50,65.52
8,29/01/2007,Kenya,Jaffrey Sports Club Ground,c S O Tikolo b L N Onyango,21,25,84.00,,40,13.33,74.07
9,31/01/2007,Ireland,Jaffrey Sports Club Ground,not out,10*,3,333.33,,50,16.67,87.72
10,02/02/2007,Canada,Gymkhana Club Ground,not out,1*,4,25.00,,51,17.00,83.61
11,04/02/2007,Netherlands,Ruaraka Sports Club Ground,not out,1*,13,7.69,,52,17.33,70.27
12,05/02/2007,Scotland,Ruaraka Sports Club Ground,did not bat,-,-,-,,52,17.33,70.27
13,25/02/2007,Bangladesh,Antigua Recreation Ground,did not bat,-,-,-,,52,17.33,70.27
14,26/02/2007,Canada,Antigua Recreation Ground,c I S Billcliff b U Bhatti,22,10,220.00,,74,18.50,88.10
15,15/03/2007,Sri Lanka,Queen's Park Oval,not out,6*,3,200.00,,80,20.00,91.95
16,19/03/2007,India,Queen's Park Oval,b A B Agarkar,0,4,0.00,,80,16.00,87.91
17,25/03/2007,Bangladesh,Queen's Park Oval,b Abdur Razzak,0,4,0.00,,80,13.33,84.21
18,25/10/2007,Kenya,Gymkhana Club Ground,lbw b H A Varaiya,1,4,25.00,,81,11.57,81.82
19,27/10/2007,Kenya,Gymkhana Club Ground,c C O Obuya b J K Kamande,4,2,200.00,,85,10.63,84.16
No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,,
