0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Arun Jaitley Stadium,10.0,0,36,1,0,1/36,36.00,60.00,3.60
"Cricket, Skating & Curling Club",15.0,1,68,1,0,1/26,68.00,90.00,4.53
M Chinnaswamy Stadium,7.0,0,46,0,0,0/46,,,6.57
Mahinda Rajapaksha International Cricket Stadium,7.0,0,48,0,0,0/48,,,6.86
Maple Leaf North - West Ground,7.0,0,50,2,0,2/50,25.00,21.00,7.14
R Premadasa Stadium,10.0,0,50,2,0,2/50,25.00,30.00,5.00
Vidarbha Cricket Association Stadium,10.0,0,57,4,1,4/57,14.25,15.00,5.70
Wankhede Stadium,10.0,0,62,2,0,2/62,31.00,30.00,6.20
Willowmoore Park,3.0,0,31,0,0,0/31,,,10.33
Overall (9),79.0,1,448,12,1,4/57,37.33,39.50,5.67
