0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,03/07/2007,Netherlands,"Cricket, Skating & Curling Club",b Mudassar Bukhari,7,23,30.43,,7,7.00,30.43
2,18/10/2007,Kenya,Gymkhana Club Ground,run out,20,26,76.92,,27,13.50,55.10
3,20/10/2007,Kenya,Gymkhana Club Ground,run out,49,73,67.12,,76,25.33,62.30
4,29/06/2008,Bermuda,Maple Leaf North - West Ground,c R D M Leverock b G H O'Brien,8,17,47.06,,84,21.00,60.43
5,01/07/2008,Bermuda,Maple Leaf North - West Ground,b K C Hodsoll,0,1,0.00,,84,16.80,60.00
6,16/02/2010,Afghanistan,Sharjah Cricket Stadium,lbw b Samiullah Shinwari,33,26,126.92,,117,19.50,70.48
7,18/02/2010,Afghanistan,Sharjah Cricket Stadium,c †Mohammad Shahzad b Shapoor Zadran,18,32,56.25,,135,19.29,68.18
8,13/04/2010,West Indies,Sabina Park,run out,2,5,40.00,,137,17.13,67.49
9,05/07/2010,Netherlands,Hazelaarweg,c P W Borren b Adeel Raja,0,8,0.00,,137,15.22,64.93
10,09/07/2010,Kenya,Sportpark Thurlede,lbw b T M Odoyo,10,33,30.30,,147,14.70,60.25
11,10/07/2010,Kenya,Sportpark Thurlede,c C O Obuya b A S Luseno,16,12,133.33,,163,14.82,63.67
12,23/01/2014,Scotland,Hagley Oval,c †M H Cross b R M Haq,11,33,33.33,,174,14.50,60.21
13,28/01/2014,Netherlands,Bay Oval,c M R Swart b M J Rippon,1,11,9.09,,175,13.46,58.33
No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,,
