0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,11/02/2003,Bangladesh,Kingsmead,42,42,42.00,,0,,,0,,,,30 years 107 days
2.0,15/02/2003,Kenya,Newlands,71,113,56.50,,0,,,0,,,,30 years 111 days
3.0,19/02/2003,Sri Lanka,Boland Park,1,114,38.00,,0,,,0,,,,30 years 115 days
4.0,23/02/2003,West Indies,SuperSport Park,16,130,32.50,,0,,,0,,,,30 years 119 days
5.0,27/02/2003,South Africa,Buffalo Park,9,139,27.80,,0,,,0,,,,30 years 123 days
6.0,03/03/2003,New Zealand,Willowmoore Park,8,147,24.50,,0,,,0,,,,30 years 127 days
7.0,19/08/2006,Bermuda,"Cricket, Skating & Curling Club",1,148,21.14,,0,,,0,,,,33 years 296 days
8.0,21/08/2006,Bermuda,"Cricket, Skating & Curling Club",62,210,26.25,,0,,1,1,,,,33 years 298 days
9.0,26/02/2007,Bermuda,Antigua Recreation Ground,48,258,28.67,,0,,1,2,,,,34 years 122 days
10.0,28/02/2007,Bangladesh,Antigua Recreation Ground,93,351,35.10,,0,,,2,,,,34 years 124 days
11.0,14/03/2007,Kenya,Darren Sammy National Cricket Stadium,34,385,35.00,,0,,,2,,,,34 years 138 days
12.0,18/03/2007,England,Darren Sammy National Cricket Stadium,20,405,33.75,,0,,,2,,,,34 years 142 days
13.0,22/03/2007,New Zealand,Darren Sammy National Cricket Stadium,50,455,35.00,,0,,1,3,,,,34 years 146 days
14.0,28/06/2008,Bermuda,Maple Leaf North - West Ground,13,468,33.43,,0,,,3,,,,35 years 245 days
15.0,29/06/2008,Bermuda,Maple Leaf North - West Ground,3,471,31.40,,0,,,3,,,,35 years 246 days
16.0,01/07/2008,Bermuda,Maple Leaf North - West Ground,10,481,30.06,,0,,1,4,,,,35 years 248 days
17.0,06/04/2009,Ireland,Willowmoore Park,38,519,30.53,,0,,,4,,,,36 years 162 days
18.0,08/04/2009,Scotland,Willowmoore Park,3,522,29.00,,0,,2,6,,,,36 years 164 days
19.0,19/04/2009,Ireland,SuperSport Park,10,532,28.00,,0,,1,7,,,,36 years 175 days
