0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Australia,4.0,0,29,1,0,1/29,29.00,24.00,7.25
Bangladesh,14.0,1,57,2,0,2/15,28.50,42.00,4.07
Bermuda,33.0,7,107,6,0,3/18,17.83,33.00,3.24
England,10.0,1,32,0,0,0/32,,,3.20
Ireland,14.0,0,78,1,0,1/44,78.00,84.00,5.57
Kenya,56.1,4,208,10,0,3/15,20.80,33.70,3.70
Netherlands,5.0,1,27,0,0,0/27,,,5.40
New Zealand,30.0,1,158,6,0,3/61,26.33,30.00,5.27
Scotland,30.0,1,122,5,0,2/31,24.40,36.00,4.07
South Africa,10.0,1,45,1,0,1/45,45.00,60.00,4.50
Sri Lanka,10.0,0,71,2,0,2/56,35.50,30.00,7.10
West Indies,5.0,0,36,1,0,1/36,36.00,30.00,7.20
Zimbabwe,18.0,0,97,1,0,1/41,97.00,108.00,5.39
Overall (13),239.1,17,1067,36,0,3/15,29.64,39.86,4.46
