0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,07/07/2010,Ireland,VRA Ground,,3.0,0/14,,,4.67,,
2.0,09/07/2010,Kenya,Sportpark Thurlede,,6.0,0/13,,,3.00,,
3.0,10/07/2010,Kenya,Sportpark Thurlede,H A Varaiya (st †A Bagai),7.0,1/23,,96.00,3.13,1,50.00
4.0,06/09/2010,Ireland,"Cricket, Skating & Curling Club",,3.0,0/14,,114.00,3.37,,64.00
5.0,07/09/2010,Ireland,"Cricket, Skating & Curling Club",J F Mooney (lbw),3.0,3/27,,33.00,4.14,2,22.75
,,,,K J O'Brien (c H Patel ),,,,,,3,
,,,,A R White (c U Bhatti),,,,,,4,
6.0,20/02/2011,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,,9.0,0/47,,46.50,4.45,,34.50
7.0,28/02/2011,Zimbabwe,Vidarbha Cricket Association Stadium,,4.0,0/41,,52.50,5.11,,44.75
8.0,03/03/2011,Pakistan,R Premadasa Stadium,Abdul Razzaq (lbw),6.0,2/23,,41.00,4.93,5,33.67
,,,,Wahab Riaz (c W D Balaji Rao),,,,,,6,
9.0,07/03/2011,Kenya,Arun Jaitley Stadium,,3.0,0/15,,44.00,4.93,,36.17
10.0,13/03/2011,New Zealand,Wankhede Stadium,,2.0,0/21,,46.00,5.17,,39.67
11.0,07/08/2011,Afghanistan,Maple Leaf North - West Ground,,1.0,0/5,,47.00,5.17,,40.50
12.0,19/09/2011,Ireland,Castle Avenue,,5.0,0/30,,52.00,5.25,,45.50
13.0,12/07/2012,Scotland,Cambusdoon New Ground,J H Stander (lbw),3.1,1/16,,47.29,5.24,7,41.29
14.0,11/03/2013,Kenya,ICC Global Cricket Academy,,6.0,0/28,,52.43,5.18,,45.29
15.0,13/03/2013,Kenya,ICC Global Cricket Academy,,8.0,0/45,,59.29,5.23,,51.71
16.0,27/08/2013,Netherlands,Maple Leaf North - West Ground,,2.0,0/17,,61.00,5.33,,54.14
17.0,23/01/2014,Scotland,Hagley Oval,,2.0,0/18,,62.71,5.43,,56.71
18.0,28/01/2014,Netherlands,Bay Oval,,1.0,0/16,,63.57,5.57,,59.00
