0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,07/08/2011,Afghanistan,Maple Leaf North - West Ground,c †Mohammad Shahzad b Mohammad Nabi,0,3,0.00,,0,0.00,0.00
2,19/09/2011,Ireland,Castle Avenue,c sub b K J O'Brien,10,18,55.56,,10,5.00,47.62
3,20/09/2011,Ireland,Castle Avenue,c K J O'Brien b A R Cusack,25,33,75.76,,35,11.67,64.81
4,12/07/2012,Scotland,Cambusdoon New Ground,not out,11*,16,68.75,,46,15.33,65.71
5,11/03/2013,Kenya,ICC Global Cricket Academy,not out,0*,0,-,,46,15.33,65.71
6,13/03/2013,Kenya,ICC Global Cricket Academy,not out,4*,10,40.00,,50,16.67,62.50
7,27/08/2013,Netherlands,Maple Leaf North - West Ground,did not bat,-,-,-,,50,16.67,62.50
8,29/08/2013,Netherlands,Maple Leaf North - West Ground,c P W Borren b P M Seelaar,12,34,35.29,,62,15.50,54.39
9,23/01/2014,Scotland,Hagley Oval,c †M H Cross b C S MacLeod,5,30,16.67,,67,13.40,46.53
No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,,
