0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,01/07/2008,Bermuda,Maple Leaf North - West Ground,I H Romaine (c I S Billcliff),10.0,3/39,,20.00,3.90,1,13.00
,,,,J J Celestine (c H S Baidwan),,,,,,2,
,,,,C R Foggo (c †A Bagai),,,,,,3,
2.0,18/08/2008,Bermuda,Maple Leaf North - West Ground,,2.0,0/22,,24.00,5.08,,20.33
3.0,22/08/2008,West Indies,Maple Leaf North - West Ground,C H Gayle (c A M Samad),10.0,1/25,,33.00,3.91,4,21.50
4.0,24/08/2008,West Indies,Maple Leaf North - West Ground,,4.0,0/34,,39.00,4.62,,30.00
5.0,08/04/2009,Scotland,Willowmoore Park,,3.0,0/23,,43.50,4.93,,35.75
