0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,17/06/2006,Sri Lanka,Lord's,b S L Malinga,16,21,76.19,,16,16.00,76.19
2,20/06/2006,Sri Lanka,Kennington Oval,not out,11*,9,122.22,,27,27.00,90.00
3,28/06/2006,Sri Lanka,Old Trafford,run out,20,13,153.85,,47,23.50,109.30
4,01/07/2006,Sri Lanka,Headingley,b S L Malinga,4,3,133.33,,51,17.00,110.87
5,18/08/2008,Scotland,Grange Cricket Club,did not bat,-,-,-,,51,17.00,110.87
6,24/05/2009,West Indies,County Ground (Bristol),did not bat,-,-,-,,51,17.00,110.87
7,26/05/2009,West Indies,Edgbaston,c R Rampaul b K A Pollard,9,7,128.57,,60,15.00,113.21
8,27/08/2009,Ireland,Civil Service Cricket Club,not out,14*,10,140.00,,74,18.50,117.46
9,06/09/2009,Australia,Lord's,c †T D Paine b M G Johnson,5,13,38.46,,79,15.80,103.95
10,09/09/2009,Australia,The Rose Bowl,not out,31*,37,83.78,,110,22.00,97.35
11,12/09/2009,Australia,Lord's,not out,11*,9,122.22,,121,24.20,99.18
12,15/09/2009,Australia,Trent Bridge,c N W Bracken b P M Siddle,4,3,133.33,,125,20.83,100.00
13,17/09/2009,Australia,Trent Bridge,not out,31*,38,81.58,,156,26.00,95.71
14,20/09/2009,Australia,Riverside Ground,not out,10*,19,52.63,,166,27.67,91.21
15,02/10/2009,Australia,SuperSport Park,b B Lee,80,76,105.26,,246,35.14,95.35
16,22/11/2009,South Africa,SuperSport Park,did not bat,-,-,-,,246,35.14,95.35
17,27/11/2009,South Africa,Newlands,c G C Smith b M Morkel,7,7,100.00,,253,31.63,95.47
18,29/11/2009,South Africa,St George's Park,did not bat,-,-,-,,253,31.63,95.47
19,28/02/2010,Bangladesh,Shere Bangla National Stadium,did not bat,-,-,-,,253,31.63,95.47
20,02/03/2010,Bangladesh,Shere Bangla National Stadium,lbw b Mahmudullah,0,3,0.00,,253,28.11,94.40
21,05/03/2010,Bangladesh,Zahur Ahmed Chowdhury Stadium,not out,6*,3,200.00,,259,28.78,95.57
22,22/06/2010,Australia,The Rose Bowl,b R J Harris,27,29,93.10,,286,28.60,95.33
23,24/06/2010,Australia,Sophia Gardens,not out,12*,19,63.16,,298,29.80,93.42
24,27/06/2010,Australia,Old Trafford,not out,14*,15,93.33,,312,31.20,93.41
25,30/06/2010,Australia,Kennington Oval,c S R Watson b R J Harris,22,26,84.62,,334,30.36,92.78
26,03/07/2010,Australia,Lord's,run out,34,30,113.33,,368,30.67,94.36
27,08/07/2010,Bangladesh,Trent Bridge,did not bat,-,-,-,,368,30.67,94.36
28,12/07/2010,Bangladesh,Edgbaston,c Tamim Iqbal b Shafiul Islam,10,6,166.67,,378,29.08,95.45
29,10/09/2010,Pakistan,Riverside Ground,run out,1,1,100.00,,379,27.07,95.47
30,12/09/2010,Pakistan,Headingley,not out,10*,7,142.86,,389,27.79,96.29
31,17/09/2010,Pakistan,Kennington Oval,b Umar Gul,0,3,0.00,,389,25.93,95.58
32,20/09/2010,Pakistan,Lord's,b Umar Gul,1,4,25.00,,390,24.38,94.89
33,22/09/2010,Pakistan,The Rose Bowl,not out,18*,12,150.00,,408,25.50,96.45
34,16/01/2011,Australia,Melbourne Cricket Ground,c X J Doherty b B Lee,28,27,103.70,,436,25.65,96.89
35,21/01/2011,Australia,Bellerive Oval,c S R Watson b D E Bollinger,19,27,70.37,,455,25.28,95.39
36,22/02/2011,Netherlands,Vidarbha Cricket Association Stadium,did not bat,-,-,-,,455,25.28,95.39
37,27/02/2011,India,M Chinnaswamy Stadium,b P P Chawla,14,9,155.56,,469,24.68,96.50
38,02/03/2011,Ireland,M Chinnaswamy Stadium,c D T Johnston b J F Mooney,4,8,50.00,,473,23.65,95.75
39,06/03/2011,South Africa,MA Chidambaram Stadium,lbw b D W Steyn,1,4,25.00,,474,22.57,95.18
40,11/03/2011,Bangladesh,Zahur Ahmed Chowdhury Stadium,c Shafiul Islam b Rubel Hossain,2,2,100.00,,476,21.64,95.20
41,17/03/2011,West Indies,MA Chidambaram Stadium,not out,20*,27,74.07,,496,22.55,94.12
42,26/03/2011,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,,496,22.55,94.12
43,28/06/2011,Sri Lanka,Kennington Oval,lbw b S L Malinga,23,14,164.29,,519,22.57,95.93
44,01/07/2011,Sri Lanka,Headingley,c L D Chandimal b S Randiv,2,12,16.67,,521,21.71,94.21
45,03/07/2011,Sri Lanka,Lord's,b S L Malinga,26,29,89.66,,547,21.88,93.99
46,06/07/2011,Sri Lanka,Trent Bridge,did not bat,-,-,-,,547,21.88,93.99
47,09/07/2011,Sri Lanka,Old Trafford,c †K C Sangakkara b S Randiv,6,15,40.00,,553,21.27,92.63
48,03/09/2011,India,Riverside Ground,did not bat,-,-,-,,553,21.27,92.63
49,06/09/2011,India,The Rose Bowl,did not bat,-,-,-,,553,21.27,92.63
50,09/09/2011,India,Kennington Oval,b R A Jadeja,28,38,73.68,,581,21.52,91.50
51,11/09/2011,India,Lord's,b R P Singh,27,22,122.73,,608,21.71,92.54
52,16/09/2011,India,Sophia Gardens,did not bat,-,-,-,,608,21.71,92.54
53,14/10/2011,India,Rajiv Gandhi International Stadium,st M S Dhoni b R Ashwin,4,8,50.00,,612,21.10,92.03
54,17/10/2011,India,Arun Jaitley Stadium,c S K Raina b R Vinay Kumar,12,13,92.31,,624,20.80,92.04
55,20/10/2011,India,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,624,20.80,92.04
56,23/10/2011,India,Wankhede Stadium,b V R Aaron,45,45,100.00,,669,21.58,92.53
57,25/10/2011,India,Eden Gardens,c S K Raina b M K Tiwary,0,4,0.00,,669,20.91,92.02
58,21/02/2012,Pakistan,Dubai International Cricket Stadium,not out,4*,1,400.00,,673,21.03,92.45
59,16/06/2012,West Indies,The Rose Bowl,run out,21,21,100.00,,694,21.03,92.66
60,19/06/2012,West Indies,Kennington Oval,did not bat,-,-,-,,694,21.03,92.66
61,29/06/2012,Australia,Lord's,did not bat,-,-,-,,694,21.03,92.66
62,01/07/2012,Australia,Kennington Oval,did not bat,-,-,-,,694,21.03,92.66
63,07/07/2012,Australia,Riverside Ground,did not bat,-,-,-,,694,21.03,92.66
64,24/08/2012,South Africa,Sophia Gardens,did not bat,-,-,-,,694,21.03,92.66
65,28/08/2012,South Africa,The Rose Bowl,c †A B de Villiers b W D Parnell,0,1,0.00,,694,20.41,92.53
66,11/01/2013,India,Saurashtra Cricket Association Stadium,did not bat,-,-,-,,694,20.41,92.53
67,19/01/2013,India,JSCA International Stadium Complex,b R Ashwin,25,37,67.57,,719,20.54,91.36
68,23/01/2013,India,Punjab Cricket Association IS Bindra Stadium,c Yuvraj Singh b R A Jadeja,0,2,0.00,,719,19.97,91.13
69,27/01/2013,India,Himachal Pradesh Cricket Association Stadium,did not bat,-,-,-,,719,19.97,91.13
70,31/05/2013,New Zealand,Lord's,b T G Southee,25,32,78.13,,744,20.11,90.62
71,02/06/2013,New Zealand,The Rose Bowl,run out,0,2,0.00,,744,19.58,90.40
72,05/06/2013,New Zealand,Trent Bridge,not out,0*,0,-,,744,19.58,90.40
73,08/06/2013,Australia,Edgbaston,not out,19*,20,95.00,,763,20.08,90.51
74,13/06/2013,Sri Lanka,Kennington Oval,b R M S Eranga,4,7,57.14,,767,19.67,90.24
75,16/06/2013,New Zealand,Sophia Gardens,run out,4,3,133.33,,771,19.28,90.39
76,23/06/2013,India,Edgbaston,run out,2,4,50.00,,773,18.85,90.20
77,12/01/2014,Australia,Melbourne Cricket Ground,not out,16*,9,177.78,,789,19.24,91.11
78,17/01/2014,Australia,Brisbane Cricket Ground,not out,1*,1,100.00,,790,19.27,91.12
79,19/01/2014,Australia,Sydney Cricket Ground,not out,41*,29,141.38,,831,20.27,92.75
80,24/01/2014,Australia,WACA Ground,c M G Johnson b J P Faulkner,2,4,50.00,,833,19.83,92.56
81,26/01/2014,Australia,Adelaide Oval,run out,13,14,92.86,,846,19.67,92.56
82,28/02/2014,West Indies,Sir Vivian Richards Stadium,not out,14*,19,73.68,,860,20.00,92.18
