0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,01/01/1987,Australia,WACA Ground,76,76,76.00,,0,,,0,,,,29 years 93 days
2.0,03/01/1987,West Indies,WACA Ground,0,76,38.00,,0,,1,1,,,,29 years 95 days
3.0,05/01/1987,Pakistan,WACA Ground,97,173,57.67,,0,,,1,,,,29 years 97 days
4.0,07/01/1987,Pakistan,WACA Ground,0,173,43.25,,0,,1,2,,,,29 years 99 days
5.0,17/01/1987,West Indies,Brisbane Cricket Ground,49,222,44.40,,0,,,2,,,,29 years 109 days
6.0,18/01/1987,Australia,Brisbane Cricket Ground,15,237,39.50,,0,,,2,,,,29 years 110 days
7.0,22/01/1987,Australia,Sydney Cricket Ground,45,282,40.29,,0,,,2,,,,29 years 114 days
8.0,24/01/1987,West Indies,Adelaide Oval,55,337,42.13,,0,,1,3,,,,29 years 116 days
9.0,26/01/1987,Australia,Adelaide Oval,46,383,42.56,,0,,1,4,,,,29 years 118 days
10.0,30/01/1987,West Indies,Melbourne Cricket Ground,33,416,41.60,,0,,,4,,,,29 years 122 days
11.0,01/02/1987,Australia,Melbourne Cricket Ground,2,418,38.00,,0,,,4,,,,29 years 124 days
12.0,03/02/1987,West Indies,Devonport Oval,76,494,41.17,,0,,,4,,,,29 years 126 days
13.0,08/02/1987,Australia,Melbourne Cricket Ground,12,506,38.92,,0,,,4,,,,29 years 131 days
14.0,11/02/1987,Australia,Sydney Cricket Ground,53,559,39.93,,0,,,4,,,,29 years 134 days
15.0,02/04/1987,India,Sharjah Cricket Stadium,57,616,41.07,,0,,,4,,,,29 years 184 days
16.0,07/04/1987,Pakistan,Sharjah Cricket Stadium,65,681,42.56,,0,,,4,,,,29 years 189 days
17.0,09/04/1987,Australia,Sharjah Cricket Stadium,44,725,42.65,,0,,1,5,,,,29 years 191 days
18.0,21/05/1987,Pakistan,Kennington Oval,99,824,45.78,,0,,1,6,,,,29 years 233 days
19.0,23/05/1987,Pakistan,Trent Bridge,52,876,46.11,,0,,,6,,,,29 years 235 days
20.0,25/05/1987,Pakistan,Edgbaston,15,891,44.55,,0,,,6,,,,29 years 237 days
21.0,09/10/1987,West Indies,Jinnah Stadium (Gujwranwala),3,894,42.57,,0,,,6,,,,30 years 9 days
22.0,12/10/1987,Pakistan,Pindi Club Ground,36,930,42.27,,0,,,6,,,,30 years 12 days
23.0,17/10/1987,Sri Lanka,Arbab Niaz Stadium,28,958,41.65,0/6,0,,1,7,,,,30 years 17 days
24.0,18/11/1987,Pakistan,Gaddafi Stadium,1,959,39.96,,0,,,7,,,,30 years 49 days
25.0,20/11/1987,Pakistan,National Stadium (Karachi),22,981,39.24,,0,,1,8,,,,30 years 51 days
26.0,22/11/1987,Pakistan,Arbab Niaz Stadium,66,1047,40.27,,0,,,8,,,,30 years 53 days
27.0,04/02/1988,Australia,Melbourne Cricket Ground,25,1072,39.70,,0,,,8,,,,30 years 127 days
28.0,09/03/1988,New Zealand,Carisbrook,33,1105,39.46,,0,,1,9,,,,30 years 161 days
29.0,12/03/1988,New Zealand,AMI Stadium,56,1161,40.03,,0,,1,10,,,,30 years 164 days
30.0,16/03/1988,New Zealand,McLean Park,106,1267,42.23,,0,,,10,,,,30 years 168 days
31.0,19/03/1988,New Zealand,Eden Park,12,1279,41.26,,0,,,10,,,,30 years 171 days
32.0,19/05/1988,West Indies,Edgbaston,35,1314,41.06,,0,,,10,,,,30 years 232 days
33.0,21/05/1988,West Indies,Headingley,13,1327,40.21,,0,,,10,,,,30 years 234 days
34.0,23/05/1988,West Indies,Lord's,34,1361,40.03,,0,,,10,,,,30 years 236 days
