0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,30/08/2006,Pakistan,Sophia Gardens,Shoaib Malik (lbw),3.0,1/14,,18.00,4.67,1,14.00
2.0,02/09/2006,Pakistan,Lord's,,6.4,0/44,,58.00,6.00,,58.00
3.0,05/09/2006,Pakistan,The Rose Bowl,Abdul Razzaq (c & b),10.0,3/57,,29.50,5.85,2,28.75
,,,,Younis Khan (c M E Trescothick),,,,,,3,
,,,,Kamran Akmal (c P D Collingwood),,,,,,4,
4.0,08/09/2006,Pakistan,Trent Bridge,Shoaib Akhtar (c E C Joyce),7.0,1/33,,32.00,5.55,5,29.60
5.0,10/09/2006,Pakistan,Edgbaston,,9.0,0/37,,42.80,5.19,,37.00
6.0,21/04/2007,West Indies,Kensington Oval,,6.0,0/32,,50.00,5.21,,43.40
7.0,01/07/2007,West Indies,Lord's,,9.0,3/20,,38.00,4.68,6,29.63
8.0,04/07/2007,West Indies,Edgbaston,M N Samuels (c R J Sidebottom),10.0,2/49,,36.40,4.71,7,28.60
,,,,D R Smith (lbw),,,,,,8,
9.0,07/07/2007,West Indies,Trent Bridge,,9.0,0/71,,41.80,5.12,,35.70
10.0,21/08/2007,India,The Rose Bowl,,8.0,0/27,,46.60,4.94,,38.40
11.0,24/08/2007,India,County Ground (Bristol),Yuvraj Singh (c P D Collingwood),9.0,1/54,,47.27,5.05,9,39.82
12.0,27/08/2007,India,Edgbaston,K D Karthik (c A N Cook),9.0,1/34,,47.83,4.93,10,39.33
13.0,30/08/2007,India,Old Trafford,A B Agarkar (c †M J Prior),10.0,4/51,,39.63,4.95,11,32.69
,,,,Yuvraj Singh (b),,,,,,12,
,,,,R R Powar (c I R Bell),,,,,,13,
,,,,K D Karthik (c †M J Prior),,,,,,14,
14.0,02/09/2007,India,Headingley,G Gambhir (c sub),10.0,1/84,,40.82,5.25,15,35.71
15.0,05/09/2007,India,Kennington Oval,S C Ganguly (c K P Pietersen),9.4,2/46,,39.58,5.21,16,34.37
,,,,M S Dhoni (b),,,,,,17,
16.0,08/09/2007,India,Lord's,,10.0,0/44,,42.74,5.15,,36.68
17.0,01/10/2007,Sri Lanka,Rangiri Dambulla International Stadium,J Mubarak (c J M Anderson),10.0,2/54,,41.52,5.17,18,35.76
,,,,W U Tharanga (c P D Collingwood),,,,,,19,
18.0,04/10/2007,Sri Lanka,Rangiri Dambulla International Stadium,K C Sangakkara (c †P Mustard),8.3,2/42,,40.13,5.15,20,34.48
,,,,L P C Silva (c P D Collingwood),,,,,,21,
19.0,07/10/2007,Sri Lanka,Rangiri Dambulla International Stadium,D P M D Jayawardene (c P D Collingwood),8.0,2/26,,38.84,5.06,22,32.76
