0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Afghanistan,2,1,0,0,0,0,2,2,2.00,100.00,3,0
Australia,29,27,7,2,5,2,110*,926,46.30,107.93,41,8
Bangladesh,6,5,0,0,4,0,65,274,54.80,126.27,6,2
India,16,13,0,0,2,1,67,314,24.15,91.01,22,4
Ireland,1,0,0,0,0,0,0,0,,,0,0
New Zealand,20,17,3,1,3,1,129,562,40.14,130.09,24,3
Pakistan,14,12,4,3,1,2,116*,522,65.25,150.87,14,3
Scotland,2,2,0,0,0,0,24,33,16.50,173.68,4,0
South Africa,10,9,2,1,1,2,105,248,35.43,129.17,18,1
Sri Lanka,25,19,5,1,3,2,121,574,41.00,120.34,22,3
West Indies,17,12,2,1,1,2,150,388,38.80,121.63,17,7
Overall (11),142,117,23,9,20,12,150,3843,40.88,119.83,171,31
