0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,24/08/1992,Pakistan,Old Trafford,did not bat,-,-,-,,0,,
2,21/05/1993,Australia,Edgbaston,did not bat,-,-,-,,0,,
3,23/05/1993,Australia,Lord's,b M G Hughes,11,16,68.75,,11,11.00,68.75
4,25/08/1994,South Africa,Edgbaston,did not bat,-,-,-,,11,11.00,68.75
5,27/08/1994,South Africa,Old Trafford,did not bat,-,-,-,,11,11.00,68.75
6,24/05/1995,West Indies,Trent Bridge,b K L T Arthurton,14,27,51.85,,25,12.50,58.14
7,26/05/1995,West Indies,Kennington Oval,did not bat,-,-,-,,25,12.50,58.14
8,28/05/1995,West Indies,Lord's,lbw b W K M Benjamin,0,1,0.00,,25,8.33,56.82
9,09/01/1996,South Africa,Newlands,run out,7,12,58.33,,32,8.00,57.14
10,11/01/1996,South Africa,Mangaung Oval,did not bat,-,-,-,,32,8.00,57.14
11,14/01/1996,South Africa,SuperSport Park,c †D J Richardson b C R Matthews,0,2,0.00,,32,6.40,55.17
12,17/01/1996,South Africa,Kingsmead,b C R Matthews,1,7,14.29,,33,5.50,50.77
13,19/01/1996,South Africa,Buffalo Park,b P R Adams,2,15,13.33,,35,5.00,43.75
14,21/01/1996,South Africa,St George's Park,lbw b P S De Villiers,21,37,56.76,,56,7.00,47.86
15,14/02/1996,New Zealand,Sardar Patel Stadium,c †L K Germon b D J Nash,19,11,172.73,,75,8.33,58.59
16,18/02/1996,United Arab Emirates,Arbab Niaz Stadium,did not bat,-,-,-,,75,8.33,58.59
17,22/02/1996,Netherlands,Arbab Niaz Stadium,did not bat,-,-,-,,75,8.33,58.59
18,25/02/1996,South Africa,Rawalpindi Cricket Stadium,b C R Matthews,17,33,51.52,,92,9.20,57.14
19,03/03/1996,Pakistan,National Stadium (Karachi),lbw b Waqar Younis,0,2,0.00,,92,8.36,56.44
20,23/05/1996,India,Kennington Oval,not out,0*,1,0.00,,92,8.36,56.10
21,25/05/1996,India,Headingley,did not bat,-,-,-,,92,8.36,56.10
22,26/05/1996,India,Old Trafford,did not bat,-,-,-,,92,8.36,56.10
23,20/02/1997,New Zealand,AMI Stadium,c B A Young b H T Davis,5,9,55.56,,97,8.08,56.07
24,23/02/1997,New Zealand,Eden Park,c B A Young b G R Larsen,4,4,100.00,,101,7.77,57.06
25,26/02/1997,New Zealand,McLean Park,not out,31*,35,88.57,,132,10.15,62.26
26,07/06/2001,Pakistan,Edgbaston,b Shahid Afridi,18,21,85.71,,150,10.71,64.38
27,10/06/2001,Australia,County Ground (Bristol),did not bat,-,-,-,,150,10.71,64.38
28,12/06/2001,Pakistan,Lord's,run out,3,7,42.86,,153,10.20,63.75
29,14/06/2001,Australia,Old Trafford,c M L Hayden b A Symonds,17,18,94.44,,170,10.63,65.89
30,17/06/2001,Pakistan,Headingley,c †Rashid Latif b Waqar Younis,4,7,57.14,,174,10.24,65.66
31,18/09/2002,Zimbabwe,R Premadasa Stadium,c H H Streak b D T Hondo,0,1,0.00,,174,9.67,65.41
32,22/09/2002,India,R Premadasa Stadium,not out,6*,5,120.00,,180,10.00,66.42
No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,,
