0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,13/06/2006,Ireland,Civil Service Cricket Club,D Langford-Smith (st †G O Jones),9.0,1/51,,54.00,5.67,1,51.00
2.0,17/06/2006,Sri Lanka,Lord's,,5.0,0/28,,84.00,5.64,,79.00
3.0,20/06/2006,Sri Lanka,Kennington Oval,,10.0,0/45,,144.00,5.17,,124.00
4.0,24/06/2006,Sri Lanka,Riverside Ground,W U Tharanga (c A J Strauss),9.0,1/40,,99.00,4.97,2,82.00
5.0,28/06/2006,Sri Lanka,Old Trafford,W U Tharanga (c V S Solanki),10.0,2/44,,64.50,4.84,3,52.00
,,,,D P M D Jayawardene (c & b),,,,,,4,
6.0,01/07/2006,Sri Lanka,Headingley,W U Tharanga (c & b),10.0,1/48,,63.60,4.83,5,51.20
7.0,05/09/2006,Pakistan,The Rose Bowl,Mohammad Yousuf (b),10.0,1/44,,63.00,4.76,6,50.00
8.0,08/09/2006,Pakistan,Trent Bridge,Inzamam-ul-Haq (c & b),10.0,1/38,,62.57,4.63,7,48.29
9.0,10/09/2006,Pakistan,Edgbaston,Naved-ul-Hasan (b),6.0,2/13,,52.67,4.44,8,39.00
,,,,Younis Khan (c E C Joyce),,,,,,9,
10.0,15/10/2006,India,Sawai Mansingh Stadium,S K Raina (b),4.0,2/5,,45.27,4.29,10,32.36
,,,,M S Dhoni (c P D Collingwood),,,,,,11,
11.0,21/10/2006,Australia,Sawai Mansingh Stadium,,3.0,0/10,,46.91,4.26,,33.27
12.0,28/10/2006,West Indies,Sardar Patel Stadium,,10.0,0/42,,52.36,4.25,,37.09
13.0,12/01/2007,Australia,Melbourne Cricket Ground,A C Gilchrist (c †P A Nixon),10.0,1/38,,53.00,4.21,12,37.17
14.0,16/01/2007,New Zealand,Bellerive Oval,,1.0,0/5,,53.50,4.21,,37.58
15.0,23/01/2007,New Zealand,Adelaide Oval,,3.0,0/22,,55.00,4.30,,39.42
16.0,26/01/2007,Australia,Adelaide Oval,,2.0,0/6,,56.00,4.28,,39.92
17.0,30/01/2007,New Zealand,WACA Ground,,5.0,0/43,,58.50,4.46,,43.50
18.0,06/02/2007,New Zealand,Brisbane Cricket Ground,,2.0,0/9,,59.50,4.46,,44.25
19.0,09/02/2007,Australia,Melbourne Cricket Ground,M L Hayden (c S I Mahmood),7.0,1/41,,58.15,4.54,13,44.00
20.0,11/02/2007,Australia,Sydney Cricket Ground,B J Hodge (c I R Bell),4.0,1/25,,55.71,4.59,14,42.64
21.0,16/03/2007,New Zealand,Darren Sammy National Cricket Stadium,,4.0,0/29,,57.43,4.67,,44.71
22.0,18/03/2007,Canada,Darren Sammy National Cricket Stadium,,3.0,0/21,,58.71,4.72,,46.21
23.0,21/04/2007,West Indies,Kensington Oval,,3.0,0/19,,60.00,4.76,,47.57
