0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,23/12/1977,Pakistan,Zafar Ali (Sahiwal) Stadium,run out,5,5,100.00,,5,5.00,100.00
2,30/12/1977,Pakistan,Jinnah Stadium (Sialkot),did not bat,-,-,-,,5,5.00,100.00
3,13/01/1978,Pakistan,Gaddafi Stadium,run out,0,2,0.00,,5,2.50,71.43
4,24/05/1978,Pakistan,Old Trafford,not out,4*,3,133.33,,9,4.50,90.00
5,17/07/1978,New Zealand,Old Trafford,did not bat,-,-,-,,9,4.50,90.00
6,13/01/1979,Australia,Sydney Cricket Ground,did not bat,-,-,-,,9,4.50,90.00
7,24/01/1979,Australia,Melbourne Cricket Ground,did not bat,-,-,-,,9,4.50,90.00
8,07/02/1979,Australia,Melbourne Cricket Ground,lbw b T J Laughlin,15,42,35.71,,24,8.00,46.15
9,09/06/1979,Australia,Lord's,did not bat,-,-,-,,24,8.00,46.15
10,16/06/1979,Pakistan,Headingley,c Wasim Raja b Asif Iqbal,2,23,8.70,,26,6.50,34.67
11,23/06/1979,West Indies,Lord's,not out,5*,8,62.50,,31,7.75,37.35
12,05/12/1984,India,Nehru Stadium (Pune),did not bat,-,-,-,,31,7.75,37.35
13,27/12/1984,India,Barabati Stadium,did not bat,-,-,-,,31,7.75,37.35
14,20/01/1985,India,M Chinnaswamy Stadium,c †S Viswanath b Kapil Dev,7,8,87.50,,38,7.60,41.76
15,23/01/1985,India,Vidarbha Cricket Association Ground,not out,8*,7,114.29,,46,9.20,46.94
16,27/01/1985,India,Sector 16 Stadium,c M Azharuddin b T A P Sekar,5,3,166.67,,51,8.50,50.50
17,17/02/1985,Australia,Melbourne Cricket Ground,b G F Lawson,20,22,90.91,,71,10.14,57.72
18,26/02/1985,India,Sydney Cricket Ground,st S Viswanath b R J Shastri,5,10,50.00,,76,9.50,57.14
19,02/03/1985,Pakistan,Melbourne Cricket Ground,not out,0*,1,0.00,,76,9.50,56.72
20,24/03/1985,Australia,Sharjah Cricket Stadium,not out,15*,42,35.71,,91,11.38,51.70
21,26/03/1985,Pakistan,Sharjah Cricket Stadium,c & b Shoaib Mohammad,3,17,17.65,,94,10.44,48.70
22,30/05/1985,Australia,Old Trafford,c A R Border b G F Lawson,0,2,0.00,,94,9.40,48.21
23,01/06/1985,Australia,Edgbaston,not out,6*,6,100.00,,100,10.00,49.75
24,31/03/1986,West Indies,Queen's Park Oval,b J Garner,0,1,0.00,,100,9.09,49.50
25,26/05/1986,India,Old Trafford,did not bat,-,-,-,,100,9.09,49.50
26,18/07/1986,New Zealand,Old Trafford,did not bat,-,-,-,,100,9.09,49.50
27,03/01/1987,West Indies,WACA Ground,not out,16*,30,53.33,,116,10.55,50.00
28,22/01/1987,Australia,Sydney Cricket Ground,did not bat,-,-,-,,116,10.55,50.00
29,02/04/1987,India,Sharjah Cricket Stadium,did not bat,-,-,-,,116,10.55,50.00
No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,,
