0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,24.0,0,140,2,0,1/40,70.00,72.00,5.83
AMI Stadium,10.0,0,50,1,0,1/50,50.00,60.00,5.00
Arbab Niaz Stadium,10.0,1,31,2,0,2/31,15.50,30.00,3.10
Arun Jaitley Stadium,10.0,1,34,1,0,1/34,34.00,60.00,3.40
Barabati Stadium,4.0,0,13,1,0,1/13,13.00,24.00,3.25
Bourda,20.0,2,70,2,0,1/33,35.00,60.00,3.50
Brisbane Cricket Ground,10.0,0,57,0,0,0/57,,,5.70
Captain Roop Singh Stadium,7.0,0,44,0,0,0/44,,,6.29
Eden Gardens,10.0,1,48,2,0,2/48,24.00,30.00,4.80
Gaddafi Stadium,9.0,1,44,2,0,2/44,22.00,27.00,4.89
Green Park,10.0,0,51,1,0,1/51,51.00,60.00,5.10
Headingley,22.0,0,87,0,0,0/36,,,3.95
Kennington Oval,11.0,2,34,0,0,0/34,,,3.09
Kensington Oval,9.0,0,32,1,0,1/32,32.00,54.00,3.56
Lal Bahadur Shastri Stadium,2.0,0,17,0,0,0/17,,,8.50
National Stadium (Karachi),19.0,1,85,0,0,0/40,,,4.47
Nehru Stadium (Pune),10.0,0,57,3,0,3/57,19.00,20.00,5.70
Old Trafford,11.0,3,30,1,0,1/30,30.00,66.00,2.73
Queen's Park Oval,9.0,0,41,1,0,1/41,41.00,54.00,4.56
Sabina Park,10.0,0,31,3,0,3/31,10.33,20.00,3.10
Sawai Mansingh Stadium,10.0,0,46,2,0,2/46,23.00,30.00,4.60
Sydney Cricket Ground,23.3,1,102,6,0,3/11,17.00,23.50,4.34
Trent Bridge,22.0,2,98,2,0,2/53,49.00,66.00,4.45
Wankhede Stadium,9.3,1,52,4,1,4/52,13.00,14.25,5.47
Overall (24),292.0,16,1294,37,1,4/52,34.97,47.35,4.43
