0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,13,13,0,0,3,2,93,394,30.31,66.89,3,0
Bangladesh,1,1,0,0,1,0,95,95,95.00,79.17,2,0
India,13,13,1,1,1,0,115,410,34.17,72.82,4,0
Kenya,1,1,1,0,1,0,88*,88,,69.29,0,0
Netherlands,1,0,0,0,0,0,0,0,,,1,0
New Zealand,10,10,2,0,1,0,50,185,23.13,57.10,3,0
Pakistan,5,5,0,0,2,0,73,138,27.60,64.19,2,0
South Africa,10,10,1,0,1,0,85,173,19.22,64.07,2,0
Sri Lanka,14,14,0,0,1,3,79,291,20.79,62.45,11,0
West Indies,4,4,1,0,0,0,16,44,14.67,64.71,3,0
Zimbabwe,16,16,4,0,5,1,75,514,42.83,69.55,9,0
Overall (11),88,87,10,1,16,6,115,2332,30.29,66.99,40,0
