0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,29/08/1996,Pakistan,Old Trafford,Saeed Anwar (c A D Mullally),10.0,1/56,,60.00,5.60,1,56.00
2.0,31/08/1996,Pakistan,Edgbaston,,2.0,0/22,,72.00,6.50,,78.00
3.0,01/09/1996,Pakistan,Trent Bridge,,2.0,0/12,,84.00,6.43,,90.00
4.0,15/12/1996,Zimbabwe,Queens Sports Club,,6.5,0/25,,125.00,5.52,,115.00
5.0,01/01/1997,Zimbabwe,Harare Sports Club,,5.0,0/15,,155.00,5.03,,130.00
6.0,03/01/1997,Zimbabwe,Harare Sports Club,A Flower (c †A J Stewart),10.0,1/39,,107.50,4.72,2,84.50
7.0,23/02/1997,New Zealand,Eden Park,B A Young (c †A J Stewart),7.0,1/26,,85.67,4.55,3,65.00
8.0,26/02/1997,New Zealand,McLean Park,,5.0,0/28,,95.67,4.66,,74.33
9.0,02/03/1997,New Zealand,Eden Park,N J Astle (c †A J Stewart),7.0,1/23,,82.25,4.49,4,61.50
10.0,27/06/2002,Sri Lanka,Trent Bridge,,10.0,0/39,,97.25,4.40,,71.25
11.0,29/06/2002,India,Lord's,S R Tendulkar (lbw),10.0,1/33,,89.80,4.25,5,63.60
12.0,02/07/2002,Sri Lanka,Headingley,,3.0,0/27,,93.40,4.43,,69.00
13.0,04/07/2002,India,Riverside Ground,,10.0,0/23,,105.40,4.19,,73.60
14.0,07/07/2002,Sri Lanka,Old Trafford,,10.0,0/40,,117.40,4.17,,81.60
15.0,09/07/2002,India,Kennington Oval,A B Agarkar (c P D Collingwood),7.0,5/26,,62.90,4.14,6,43.40
,,,,M Kaif (b),,,,,,7,
,,,,V Sehwag (c †A J Stewart),,,,,,8,
,,,,Yuvraj Singh (st †A J Stewart),,,,,,9,
,,,,A Ratra (c †A J Stewart),,,,,,10,
16.0,13/07/2002,India,Lord's,R Dravid (c N V Knight),10.0,2/64,,57.42,4.34,11,41.50
,,,,D Mongia (c †A J Stewart),,,,,,12,
17.0,18/09/2002,Zimbabwe,R Premadasa Stadium,A Flower (c J N Snape),10.0,4/37,,46.81,4.29,13,33.44
,,,,G J Whittall (lbw),,,,,,14,
,,,,S V Carlisle (c N V Knight),,,,,,15,
,,,,D T Hondo (b),,,,,,16,
18.0,22/09/2002,India,R Premadasa Stadium,,5.0,0/34,,48.69,4.38,,35.56
19.0,13/12/2002,Australia,Sydney Cricket Ground,A C Gilchrist (c O A Shah),5.0,1/33,,47.59,4.46,17,35.41
20.0,15/12/2002,Australia,Melbourne Cricket Ground,,5.0,0/29,,49.35,4.51,,37.12
21.0,17/12/2002,Sri Lanka,Brisbane Cricket Ground,,10.0,0/58,,52.88,4.60,,40.53
22.0,20/12/2002,Sri Lanka,WACA Ground,,5.0,0/16,,54.65,4.55,,41.47
23.0,11/01/2003,Australia,Bellerive Oval,,9.0,0/55,,57.82,4.64,,44.71
24.0,13/01/2003,Sri Lanka,Sydney Cricket Ground,,9.0,0/53,,61.00,4.70,,47.82
25.0,17/01/2003,Sri Lanka,Adelaide Oval,D P M D Jayawardene (c M P Vaughan),10.0,1/36,,60.94,4.64,18,47.17
26.0,19/01/2003,Australia,Adelaide Oval,,5.0,0/22,,62.61,4.64,,48.39
27.0,23/01/2003,Australia,Sydney Cricket Ground,,2.0,0/14,,63.28,4.66,,49.17
28.0,25/01/2003,Australia,Melbourne Cricket Ground,S K Warne (c & b),10.0,3/46,,57.10,4.66,19,44.33
,,,,M L Hayden (c sub),,,,,,20,
,,,,A Symonds (b),,,,,,21,
29.0,19/02/2003,Namibia,St George's Park,B G Murgatroyd (b),8.0,3/30,,51.96,4.62,22,40.04
,,,,B L Kotze (lbw),,,,,,23,
,,,,S F Burger (c P D Collingwood),,,,,,24,
30.0,26/02/2003,India,Kingsmead,,6.0,0/28,,53.46,4.63,,41.21
