0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Arun Jaitley Stadium,1,1,0,0,0,1,0,0,0.00,,0,0
Castle Avenue,1,1,0,0,0,0,14,14,14.00,53.85,1,0
County Ground (Bristol),1,1,0,0,0,0,20,20,20.00,117.65,3,0
Dubai International Cricket Stadium,2,1,0,0,0,0,43,43,43.00,69.35,3,0
Eden Gardens,1,1,0,0,1,0,63,63,63.00,98.44,2,0
Edgbaston,1,1,0,0,0,1,0,0,0.00,,2,0
Grange Cricket Club,1,1,0,0,1,0,69,69,69.00,106.15,0,1
Headingley,1,1,0,0,0,0,25,25,25.00,83.33,0,2
JSCA International Stadium Complex,1,1,0,0,0,1,0,0,0.00,,0,0
Kennington Oval,6,5,1,0,2,0,61,138,34.50,96.50,7,1
Lord's,5,5,1,0,0,0,25,72,18.00,83.72,8,3
Nehru Stadium (Kochi),1,1,0,0,0,0,18,18,18.00,47.37,0,0
Old Trafford,3,2,0,0,0,1,43,43,21.50,95.56,3,3
Punjab Cricket Association IS Bindra Stadium,1,1,0,0,0,0,36,36,36.00,94.74,0,0
Rajiv Gandhi International Stadium,1,1,0,0,0,0,7,7,7.00,87.50,0,1
Riverside Ground,2,1,0,0,0,0,6,6,6.00,31.58,4,0
Saurashtra Cricket Association Stadium,1,1,1,0,0,0,24*,24,,120.00,2,0
Sheikh Zayed Stadium,2,1,0,0,0,0,9,9,9.00,47.37,3,1
Shere Bangla National Stadium,2,2,0,0,0,0,19,23,11.50,82.14,1,0
Sophia Gardens,3,2,0,0,0,0,21,29,14.50,120.83,3,0
The Rose Bowl,4,4,1,0,0,0,46,142,47.33,110.94,5,0
Trent Bridge,3,3,1,0,1,0,72*,137,68.50,85.09,5,0
Wankhede Stadium,1,1,0,0,0,0,29,29,29.00,161.11,1,0
Zahur Ahmed Chowdhury Stadium,1,1,0,1,0,0,107,107,107.00,86.99,0,0
Overall (24),46,40,5,1,5,4,107,1054,30.11,89.93,53,12
