0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,17.0,2,66,1,0,1/38,66.00,102.00,3.88
AMI Stadium,20.0,3,64,4,0,2/31,16.00,30.00,3.20
Barabati Stadium,8.0,0,50,3,0,3/50,16.67,16.00,6.25
Basin Reserve,17.0,3,54,5,1,5/20,10.80,20.40,3.18
Brisbane Cricket Ground,20.0,2,76,3,0,3/30,25.33,40.00,3.80
Eden Park,17.0,2,57,1,0,1/27,57.00,102.00,3.35
Edgbaston,12.0,1,34,1,0,1/34,34.00,72.00,2.83
Gaddafi Stadium,8.0,1,32,1,0,1/32,32.00,48.00,4.00
Headingley,6.0,2,18,2,0,2/18,9.00,18.00,3.00
Kennington Oval,23.0,1,98,2,0,2/39,49.00,69.00,4.26
Lord's,23.0,2,77,3,0,2/44,25.67,46.00,3.35
M Chinnaswamy Stadium,10.0,1,35,3,0,3/35,11.67,20.00,3.50
Melbourne Cricket Ground,26.2,2,105,3,0,1/25,35.00,52.67,3.99
National Stadium (Karachi),8.0,1,22,0,0,0/22,,,2.75
Nehru Stadium (Pune),10.0,0,48,0,0,0/48,,,4.80
Old Trafford,24.0,1,83,2,0,2/45,41.50,72.00,3.46
Sydney Cricket Ground,36.0,1,145,5,0,2/12,29.00,43.20,4.03
The Cooper Associates County Ground,12.0,3,39,5,1,5/39,7.80,14.40,3.25
Vidarbha Cricket Association Ground,6.0,0,32,0,0,0/32,,,5.33
Overall (19),303.2,28,1135,44,2,5/20,25.80,41.36,3.74
