0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,05/12/2004,Zimbabwe,Queens Sports Club,,2.0,0/22,,,11.00,,
2.0,12/04/2006,India,Keenan Stadium,Harbhajan Singh (b),1.0,1/4,,18.00,8.67,1,26.00
3.0,20/06/2006,Sri Lanka,Kennington Oval,,4.0,0/26,,42.00,7.43,,52.00
4.0,05/09/2006,Pakistan,The Rose Bowl,,4.0,0/23,,66.00,6.82,,75.00
5.0,08/09/2006,Pakistan,Trent Bridge,,3.0,0/16,,84.00,6.50,,91.00
6.0,16/03/2007,New Zealand,Darren Sammy National Cricket Stadium,,1.0,0/2,,90.00,6.20,,93.00
7.0,30/08/2007,India,Old Trafford,S R Tendulkar (c A Flintoff),1.0,1/6,,48.00,6.19,2,49.50
8.0,02/09/2007,India,Headingley,,0.5,0/7,,50.50,6.30,,53.00
9.0,18/08/2008,Scotland,Grange Cricket Club,,2.0,0/6,,56.50,5.95,,56.00
10.0,22/08/2008,South Africa,Headingley,M V Boucher (st †M J Prior),5.0,2/22,,35.75,5.62,3,33.50
,,,,A B de Villiers (c I R Bell),,,,,,4,
11.0,14/11/2008,India,Madhavrao Scindia Cricket Ground,,2.0,0/16,,38.75,5.81,,37.50
12.0,17/11/2008,India,Holkar Cricket Stadium,G Gambhir (b),5.0,1/20,,37.00,5.51,5,34.00
13.0,20/11/2008,India,Green Park,,3.0,0/14,,40.60,5.44,,36.80
14.0,23/11/2008,India,M Chinnaswamy Stadium,,1.0,0/17,,41.80,5.77,,40.20
15.0,29/03/2009,West Indies,Kensington Oval,,0.5,0/0,,42.80,5.64,,40.20
16.0,28/02/2010,Bangladesh,Shere Bangla National Stadium,,2.0,0/9,,45.20,5.58,,42.00
17.0,05/03/2010,Bangladesh,Zahur Ahmed Chowdhury Stadium,Shakib Al Hasan (lbw),8.0,1/36,,45.67,5.39,6,41.00
18.0,02/02/2011,Australia,Sydney Cricket Ground,M G Johnson (st †M J Prior),6.0,1/43,,44.29,5.59,7,41.29
19.0,22/02/2011,Netherlands,Vidarbha Cricket Association Stadium,,2.0,0/19,,46.00,5.74,,44.00
20.0,06/03/2011,South Africa,MA Chidambaram Stadium,,8.0,0/30,,52.86,5.48,,48.29
21.0,01/07/2011,Sri Lanka,Headingley,,2.0,0/15,,54.57,5.54,,50.43
22.0,17/10/2011,India,Arun Jaitley Stadium,,2.0,0/13,,56.29,5.57,,52.29
23.0,21/02/2012,Pakistan,Dubai International Cricket Stadium,,1.0,0/4,,57.14,5.55,,52.86
