0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,17/07/1982,Pakistan,Trent Bridge,did not bat,-,-,-,,0,,
2,19/07/1982,Pakistan,Old Trafford,not out,34*,45,75.56,,34,,75.56
3,23/01/1983,Australia,Melbourne Cricket Ground,did not bat,-,-,-,,34,,75.56
4,23/02/1983,New Zealand,Basin Reserve,b R J Webb,11,11,100.00,,45,45.00,80.36
5,31/05/1984,West Indies,Old Trafford,c J Garner b M A Holding,6,21,28.57,,51,25.50,66.23
6,02/06/1984,West Indies,Trent Bridge,not out,2*,3,66.67,,53,26.50,66.25
7,04/06/1984,West Indies,Lord's,lbw b J Garner,8,22,36.36,,61,20.33,59.80
8,24/03/1985,Australia,Sharjah Cricket Stadium,st S J Rixon b A R Border,4,41,9.76,,65,16.25,45.45
9,26/03/1985,Pakistan,Sharjah Cricket Stadium,b Wasim Akram,13,31,41.94,,78,15.60,44.83
10,24/05/1986,India,Kennington Oval,c M Azharuddin b C Sharma,28,66,42.42,,106,17.67,44.17
11,26/05/1986,India,Old Trafford,not out,49*,52,94.23,,155,25.83,53.08
12,16/07/1986,New Zealand,Headingley,c K R Rutherford b E J Gray,28,42,66.67,,183,26.14,54.79
13,18/07/1986,New Zealand,Old Trafford,not out,0*,0,-,,183,26.14,54.79
14,09/10/1987,West Indies,Jinnah Stadium (Gujwranwala),c C A Best b C L Hooper,12,23,52.17,,195,24.38,54.62
15,12/10/1987,Pakistan,Pindi Club Ground,run out,8,14,57.14,,203,22.56,54.72
16,17/10/1987,Sri Lanka,Arbab Niaz Stadium,did not bat,-,-,-,,203,22.56,54.72
17,19/05/1988,West Indies,Edgbaston,not out,23*,31,74.19,,226,25.11,56.22
18,21/05/1988,West Indies,Headingley,c †P J L Dujon b C A Walsh,39,55,70.91,,265,26.50,57.99
19,23/05/1988,West Indies,Lord's,did not bat,-,-,-,,265,26.50,57.99
20,04/09/1988,Sri Lanka,Kennington Oval,not out,19*,11,172.73,,284,28.40,60.68
21,25/05/1989,Australia,Old Trafford,lbw b S R Waugh,9,18,50.00,,293,26.64,60.29
22,27/05/1989,Australia,Trent Bridge,not out,25*,32,78.13,,318,28.91,61.39
23,29/05/1989,Australia,Lord's,run out,0,1,0.00,,318,26.50,61.27
24,19/10/1989,Australia,Lal Bahadur Shastri Stadium,did not bat,-,-,-,,318,26.50,61.27
25,30/10/1989,Pakistan,Vidarbha Cricket Association Ground,not out,21*,17,123.53,,339,28.25,63.25
26,23/05/1990,New Zealand,Headingley,not out,30*,17,176.47,,369,30.75,66.73
27,23/05/1991,West Indies,Edgbaston,c R B Richardson b C A Walsh,1,3,33.33,,370,28.46,66.55
28,25/05/1991,West Indies,Old Trafford,did not bat,-,-,-,,370,28.46,66.55
29,27/05/1991,West Indies,Lord's,did not bat,-,-,-,,370,28.46,66.55
30,11/01/1992,New Zealand,Eden Park,did not bat,-,-,-,,370,28.46,66.55
31,12/02/1992,New Zealand,Carisbrook,not out,14*,9,155.56,,384,29.54,67.96
32,15/02/1992,New Zealand,AMI Stadium,c W Watson b C L Cairns,5,3,166.67,,389,27.79,68.49
33,22/02/1992,India,WACA Ground,c K Srikkanth b J Srinath,1,3,33.33,,390,26.00,68.30
34,27/02/1992,West Indies,Melbourne Cricket Ground,did not bat,-,-,-,,390,26.00,68.30
35,01/03/1992,Pakistan,Adelaide Oval,did not bat,-,-,-,,390,26.00,68.30
36,05/03/1992,Australia,Sydney Cricket Ground,did not bat,-,-,-,,390,26.00,68.30
37,09/03/1992,Sri Lanka,Eastern Oval,not out,0*,0,-,,390,26.00,68.30
38,12/03/1992,South Africa,Melbourne Cricket Ground,c A P Kuiper b R P Snell,1,3,33.33,,391,24.44,68.12
39,15/03/1992,New Zealand,Basin Reserve,c sub b A H Jones,10,16,62.50,,401,23.59,67.97
40,25/03/1992,Pakistan,Melbourne Cricket Ground,not out,18*,16,112.50,,419,24.65,69.14
41,20/05/1992,Pakistan,Lord's,did not bat,-,-,-,,419,24.65,69.14
42,22/05/1992,Pakistan,Kennington Oval,did not bat,-,-,-,,419,24.65,69.14
43,19/05/1993,Australia,Old Trafford,c M A Taylor b S R Waugh,6,10,60.00,,425,23.61,68.99
44,21/05/1993,Australia,Edgbaston,did not bat,-,-,-,,425,23.61,68.99
No. of Innings Played = 30,No. of Innings Played = 30,No. of Innings Played = 30,No. of Innings Played = 30,No. of Innings Played = 30,No. of Innings Played = 30,No. of Innings Played = 30,No. of Innings Played = 30,No. of Innings Played = 30,No. of Innings Played = 30,,
