0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Barabati Stadium,13.1,0,73,2,0,2/47,36.50,39.50,5.54
Dr YS Rajasekhara Reddy Cricket Stadium,10.0,0,66,0,0,0/66,,,6.60
Eden Gardens,3.0,0,19,1,0,1/19,19.00,18.00,6.33
Eden Park,7.0,0,52,1,0,1/52,52.00,42.00,7.43
Khan Shaheb Osman Ali Stadium,7.5,0,74,1,0,1/74,74.00,47.00,9.45
Seddon Park,6.1,0,51,1,0,1/51,51.00,37.00,8.27
Wankhede Stadium,6.1,1,24,3,0,3/24,8.00,12.33,3.89
Westpac Stadium,10.0,0,60,2,0,2/60,30.00,30.00,6.00
Overall (8),63.2,1,419,11,0,3/24,38.09,34.55,6.62
