0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,25/01/2002,England,MA Chidambaram Stadium,c M E Trescothick b M J Hoggard,1,5,20.00,,1,1.00,20.00
2,07/03/2002,Zimbabwe,Nahar Singh Stadium,c T J Friend b H H Streak,0,2,0.00,,1,0.50,14.29
3,10/03/2002,Zimbabwe,Punjab Cricket Association IS Bindra Stadium,c C B Wishart b G B Brent,0,1,0.00,,1,0.33,12.50
4,13/03/2002,Zimbabwe,Nehru Stadium (Kochi),c D T Hondo b D A Marillier,36,67,53.73,,37,9.25,49.33
5,15/11/2002,West Indies,Sardar Patel Stadium,not out,57*,41,139.02,,94,23.50,81.03
6,18/11/2002,West Indies,Reliance Stadium,run out,27,20,135.00,,121,24.20,88.97
7,21/11/2002,West Indies,Barkatullah Khan Stadium,not out,32*,38,84.21,,153,30.60,87.93
8,24/11/2002,West Indies,Indira Gandhi Stadium,lbw b C D Collymore,2,8,25.00,,155,25.83,85.16
9,29/12/2002,New Zealand,McLean Park,c †B B McCullum b J D P Oram,4,5,80.00,,159,22.71,85.03
10,01/01/2003,New Zealand,AMI Stadium,c †B B McCullum b D R Tuffey,1,9,11.11,,160,20.00,81.63
11,11/01/2003,New Zealand,Eden Park,lbw b A R Adams,1,2,50.00,,161,17.89,81.31
12,16/04/2003,Bangladesh,Bangabandhu National Stadium,lbw b Mohammad Rafique,7,11,63.64,,168,16.80,80.38
13,18/04/2003,South Africa,Bangabandhu National Stadium,lbw b M Ntini,9,21,42.86,,177,16.09,76.96
14,09/01/2004,Australia,Melbourne Cricket Ground,c R T Ponting b I J Harvey,3,5,60.00,,180,15.00,76.60
15,24/01/2004,Zimbabwe,Adelaide Oval,c S V Carlisle b H H Streak,0,4,0.00,,180,13.85,75.31
No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,,
