0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,28/01/2014,New Zealand,Seddon Park,,1.0,0/8,,,8.00,,
2.0,28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium,,4.0,0/22,,,6.00,,
3.0,17/06/2014,Bangladesh,Shere Bangla National Stadium,Mashrafe Mortaza (c †W P Saha),4.4,6/4,,9.67,3.52,1,5.67
,,,,Mushfiqur Rahim (c †W P Saha),,,,,,2,
,,,,Mahmudullah (c A T Rayudu),,,,,,3,
,,,,Nasir Hossain (b),,,,,,4,
,,,,Al-Amin Hossain (b),,,,,,5,
,,,,Mohammad Mithun (c A R Patel),,,,,,6,
4.0,13/11/2014,Sri Lanka,Eden Gardens,T M Dilshan (c S K Raina),8.0,2/55,,13.25,5.04,7,11.13
,,,,L D Chandimal (c S K Raina),,,,,,8,
5.0,16/11/2014,Sri Lanka,JSCA International Stadium Complex,T M Dilshan (b),8.0,1/28,,17.11,4.56,9,13.00
6.0,20/01/2015,England,Brisbane Cricket Ground,M M Ali (c V Kohli),7.0,1/34,,19.60,4.62,10,15.10
7.0,30/01/2015,England,WACA Ground,E J G Morgan (c S Dhawan),8.0,3/33,,18.77,4.52,11,14.15
,,,,R S Bopara (c R A Jadeja),,,,,,12,
,,,,J E Root (c & b),,,,,,13,
8.0,24/06/2015,Bangladesh,Shere Bangla National Stadium,Sabbir Rahman (b),6.0,1/41,,20.00,4.82,14,16.07
9.0,10/07/2015,Zimbabwe,Harare Sports Club,V Sibanda (c Harbhajan Singh),10.0,2/54,,21.25,4.92,15,17.44
,,,,R Mutumbami (c Harbhajan Singh),,,,,,16,
10.0,12/07/2015,Zimbabwe,Harare Sports Club,R Mutumbami (c A R Patel),7.0,1/42,,22.47,5.04,17,18.88
11.0,14/07/2015,Zimbabwe,Harare Sports Club,C J Chibhabha (c K M Jadhav),10.0,3/55,,22.10,5.10,18,18.80
,,,,M N Waller (c A M Rahane),,,,,,19,
,,,,R Mutumbami (lbw),,,,,,20,
12.0,11/10/2015,South Africa,Green Park,,8.0,0/63,,24.50,5.38,,21.95
