0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Afghanistan,10.0,0,36,2,0,2/36,18.00,30.00,3.60
Australia,63.0,1,356,15,1,6/42,23.73,25.20,5.65
Bangladesh,28.0,1,121,2,0,1/31,60.50,84.00,4.32
England,40.0,0,223,2,0,1/43,111.50,120.00,5.58
Hong Kong,10.0,0,46,3,0,3/46,15.33,20.00,4.60
New Zealand,79.0,1,416,14,0,3/41,29.71,33.86,5.27
Pakistan,23.0,0,133,2,0,2/46,66.50,69.00,5.78
South Africa,62.1,1,313,20,3,5/22,15.65,18.65,5.03
Sri Lanka,60.0,4,294,11,0,3/46,26.73,32.73,4.90
West Indies,44.0,1,231,8,0,3/41,28.88,33.00,5.25
Zimbabwe,24.0,3,77,6,0,3/25,12.83,24.00,3.21
Overall (11),443.1,12,2246,85,4,6/42,26.42,31.28,5.07
