0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,07/06/1975,England,Lord's,-,0,,0/83,0,,,0,,,,24 years 99 days
2.0,01/10/1978,Pakistan,Ayub National Stadium,1*,1,,1/35,1,118.00,,0,,,,27 years 215 days
3.0,13/10/1978,Pakistan,Jinnah Stadium (Sialkot),5,6,6.00,0/18,1,136.00,,0,,,,27 years 227 days
4.0,03/11/1978,Pakistan,Zafar Ali (Sahiwal) Stadium,-,6,6.00,1/33,2,84.50,1,1,,,,27 years 248 days
5.0,09/06/1979,West Indies,Edgbaston,12,18,9.00,0/25,2,97.00,,1,,,,28 years 101 days
6.0,13/06/1979,New Zealand,Headingley,20,38,12.67,0/34,2,114.00,,1,,,,28 years 105 days
7.0,16/06/1979,Sri Lanka,Old Trafford,3,41,10.25,0/53,2,140.50,,1,,,,28 years 108 days
8.0,06/12/1980,Australia,Melbourne Cricket Ground,0,41,8.20,1/32,3,104.33,,1,,,,29 years 281 days
9.0,09/12/1980,New Zealand,WACA Ground,14,55,9.17,1/30,4,85.75,,1,,,,29 years 284 days
10.0,18/12/1980,Australia,Sydney Cricket Ground,11*,66,11.00,0/25,4,92.00,,1,,,,29 years 293 days
11.0,21/12/1980,New Zealand,Brisbane Cricket Ground,9*,75,12.50,0/38,4,101.50,,1,,,,29 years 296 days
12.0,23/12/1980,New Zealand,Adelaide Oval,10*,85,14.17,2/49,6,75.83,1,2,,,,29 years 298 days
13.0,08/01/1981,Australia,Sydney Cricket Ground,1,86,12.29,0/14,6,78.17,,2,,,,29 years 314 days
14.0,10/01/1981,New Zealand,Melbourne Cricket Ground,6,92,11.50,0/15,6,80.67,,2,,,,29 years 316 days
15.0,11/01/1981,Australia,Melbourne Cricket Ground,-,92,11.50,0/37,6,86.83,,2,,,,29 years 317 days
16.0,15/01/1981,Australia,Sydney Cricket Ground,11*,103,12.88,2/39,8,70.00,,2,,,,29 years 321 days
17.0,18/01/1981,New Zealand,Brisbane Cricket Ground,2,105,11.67,2/61,10,62.10,,2,,,,29 years 324 days
18.0,14/02/1981,New Zealand,Eden Park,6*,111,12.33,3/40,13,50.85,,2,,,,29 years 351 days
19.0,15/02/1981,New Zealand,Seddon Park,3,114,11.40,2/47,15,47.20,,2,,,,29 years 352 days
