0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,07/06/1975,England,Lord's,,11.0,0/83,,,7.55,,
2.0,01/10/1978,Pakistan,Ayub National Stadium,Mudassar Nazar (lbw),8.0,1/35,,114.00,6.21,1,118.00
3.0,13/10/1978,Pakistan,Jinnah Stadium (Sialkot),,6.0,0/18,,150.00,5.44,,136.00
4.0,03/11/1978,Pakistan,Zafar Ali (Sahiwal) Stadium,Asif Iqbal (c B S Bedi),8.0,1/33,,99.00,5.12,2,84.50
5.0,09/06/1979,West Indies,Edgbaston,,10.0,0/25,,129.00,4.51,,97.00
6.0,13/06/1979,New Zealand,Headingley,,10.0,0/34,,159.00,4.30,,114.00
7.0,16/06/1979,Sri Lanka,Old Trafford,,12.0,0/53,,195.00,4.32,,140.50
8.0,06/12/1980,Australia,Melbourne Cricket Ground,R W Marsh (b),9.1,1/32,,148.33,4.22,3,104.33
9.0,09/12/1980,New Zealand,WACA Ground,B L Cairns (c D B Vengsarkar),10.0,1/30,,126.25,4.08,4,85.75
10.0,18/12/1980,Australia,Sydney Cricket Ground,,8.0,0/25,,138.25,3.99,,92.00
11.0,21/12/1980,New Zealand,Brisbane Cricket Ground,,10.0,0/38,,153.25,3.97,,101.50
12.0,23/12/1980,New Zealand,Adelaide Oval,B L Cairns (b),10.0,2/49,,112.17,4.06,5,75.83
,,,,W K Lees (lbw),,,,,,6,
13.0,08/01/1981,Australia,Sydney Cricket Ground,,4.0,0/14,,116.17,4.04,,78.17
14.0,10/01/1981,New Zealand,Melbourne Cricket Ground,,7.0,0/15,,123.17,3.93,,80.67
15.0,11/01/1981,Australia,Melbourne Cricket Ground,,9.0,0/37,,132.17,3.94,,86.83
16.0,15/01/1981,Australia,Sydney Cricket Ground,R W Marsh (c †B Reddy),10.0,2/39,,106.63,3.94,7,70.00
,,,,K D Walters (b),,,,,,8,
17.0,18/01/1981,New Zealand,Brisbane Cricket Ground,J G Wright (b),10.0,2/61,,91.30,4.08,9,62.10
,,,,R J Hadlee (b),,,,,,10,
18.0,14/02/1981,New Zealand,Eden Park,R J Hadlee (c D B Vengsarkar),10.0,3/40,,74.85,4.08,11,50.85
,,,,G N Edwards (c C P S Chauhan),,,,,,12,
,,,,J G Wright (c R M H Binny),,,,,,13,
19.0,15/02/1981,New Zealand,Seddon Park,R J Hadlee (c K Azad),10.0,2/47,,68.87,4.11,14,47.20
,,,,J V Coney (c D B Vengsarkar),,,,,,15,
