0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,30/12/2012,Pakistan,MA Chidambaram Stadium,did not bat,-,-,-,,0,,
2,03/01/2013,Pakistan,Eden Gardens,lbw b Saeed Ajmal,0,2,0.00,,0,0.00,0.00
3,06/01/2013,Pakistan,Arun Jaitley Stadium,lbw b Saeed Ajmal,2,10,20.00,,2,1.00,16.67
4,11/01/2013,England,Saurashtra Cricket Association Stadium,not out,20*,16,125.00,,22,11.00,78.57
5,15/01/2013,England,Nehru Stadium (Kochi),did not bat,-,-,-,,22,11.00,78.57
6,19/01/2013,England,JSCA International Stadium Complex,did not bat,-,-,-,,22,11.00,78.57
7,23/01/2013,England,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,22,11.00,78.57
8,27/01/2013,England,Himachal Pradesh Cricket Association Stadium,c S T Finn b T T Bresnan,31,30,103.33,,53,17.67,91.38
9,06/06/2013,South Africa,Sophia Gardens,not out,0*,0,-,,53,17.67,91.38
10,11/06/2013,West Indies,Kennington Oval,did not bat,-,-,-,,53,17.67,91.38
11,15/06/2013,Pakistan,Edgbaston,did not bat,-,-,-,,53,17.67,91.38
12,20/06/2013,Sri Lanka,Sophia Gardens,did not bat,-,-,-,,53,17.67,91.38
13,23/06/2013,England,Edgbaston,not out,1*,1,100.00,,54,18.00,91.53
14,30/06/2013,West Indies,Sabina Park,not out,11*,5,220.00,,65,21.67,101.56
15,05/07/2013,West Indies,Queen's Park Oval,did not bat,-,-,-,,65,21.67,101.56
16,09/07/2013,Sri Lanka,Queen's Park Oval,did not bat,-,-,-,,65,21.67,101.56
17,11/07/2013,Sri Lanka,Queen's Park Oval,lbw b S L Malinga,0,15,0.00,,65,16.25,82.28
18,13/10/2013,Australia,Maharashtra Cricket Association Stadium,c A C Voges b A J Finch,18,27,66.67,,83,16.60,78.30
19,16/10/2013,Australia,Sawai Mansingh Stadium,did not bat,-,-,-,,83,16.60,78.30
20,19/10/2013,Australia,Punjab Cricket Association IS Bindra Stadium,c G J Bailey b J P Faulkner,10,18,55.56,,93,15.50,75.00
21,30/10/2013,Australia,Vidarbha Cricket Association Stadium,did not bat,-,-,-,,93,15.50,75.00
22,02/11/2013,Australia,M Chinnaswamy Stadium,did not bat,-,-,-,,93,15.50,75.00
23,21/11/2013,West Indies,Nehru Stadium (Kochi),did not bat,-,-,-,,93,15.50,75.00
24,24/11/2013,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,not out,1*,1,100.00,,94,15.67,75.20
25,27/11/2013,West Indies,Green Park,did not bat,-,-,-,,94,15.67,75.20
26,05/12/2013,South Africa,Wanderers Stadium,c J H Kallis b D W Steyn,0,4,0.00,,94,13.43,72.87
27,19/01/2014,New Zealand,McLean Park,run out,6,4,150.00,,100,12.50,75.19
28,22/01/2014,New Zealand,Seddon Park,c N L McCullum b C J Anderson,11,6,183.33,,111,12.33,79.86
29,25/01/2014,New Zealand,Eden Park,c N L McCullum b H K Bennett,4,3,133.33,,115,11.50,80.99
30,28/01/2014,New Zealand,Seddon Park,did not bat,-,-,-,,115,11.50,80.99
31,31/01/2014,New Zealand,Westpac Stadium,c †L Ronchi b M J Henry,20,25,80.00,,135,12.27,80.84
32,26/02/2014,Bangladesh,Khan Shaheb Osman Ali Stadium,did not bat,-,-,-,,135,12.27,80.84
33,28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium,st K C Sangakkara b B A W Mendis,0,0,-,,135,11.25,80.84
34,01/03/2014,Pakistan,Shere Bangla National Stadium,did not bat,-,-,-,,135,11.25,80.84
35,05/03/2014,Afghanistan,Shere Bangla National Stadium,did not bat,-,-,-,,135,11.25,80.84
36,27/08/2014,England,Sophia Gardens,did not bat,-,-,-,,135,11.25,80.84
37,30/08/2014,England,Trent Bridge,did not bat,-,-,-,,135,11.25,80.84
38,02/09/2014,England,Edgbaston,did not bat,-,-,-,,135,11.25,80.84
39,05/09/2014,England,Headingley,run out,1,3,33.33,,136,10.46,80.00
40,08/10/2014,West Indies,Nehru Stadium (Kochi),c D J G Sammy b M N Samuels,2,10,20.00,,138,9.86,76.67
41,11/10/2014,West Indies,Arun Jaitley Stadium,c K A Pollard b D J J Bravo,18,14,128.57,,156,10.40,80.41
42,17/10/2014,West Indies,Himachal Pradesh Cricket Association Stadium,did not bat,-,-,-,,156,10.40,80.41
43,18/01/2015,Australia,Melbourne Cricket Ground,b M A Starc,0,1,0.00,,156,9.75,80.00
44,20/01/2015,England,Brisbane Cricket Ground,b J M Anderson,5,5,100.00,,161,9.47,80.50
45,28/02/2015,United Arab Emirates,WACA Ground,did not bat,-,-,-,,161,9.47,80.50
46,18/06/2015,Bangladesh,Shere Bangla National Stadium,not out,25*,21,119.05,,186,10.94,84.16
47,21/06/2015,Bangladesh,Shere Bangla National Stadium,c †Liton Das b Rubel Hossain,3,10,30.00,,189,10.50,81.82
48,10/07/2015,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,189,10.50,81.82
49,12/07/2015,Zimbabwe,Harare Sports Club,not out,0*,0,-,,189,10.50,81.82
50,14/07/2015,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,189,10.50,81.82
51,11/10/2015,South Africa,Green Park,not out,1*,1,100.00,,190,10.56,81.90
52,14/10/2015,South Africa,Holkar Cricket Stadium,b Imran Tahir,14,32,43.75,,204,10.74,77.27
53,18/10/2015,South Africa,Saurashtra Cricket Association Stadium,did not bat,-,-,-,,204,10.74,77.27
54,22/10/2015,South Africa,MA Chidambaram Stadium,run out,0,1,0.00,,204,10.20,76.98
55,25/10/2015,South Africa,Wankhede Stadium,c D A Miller b Imran Tahir,1,8,12.50,,205,9.76,75.09
56,12/01/2016,Australia,WACA Ground,did not bat,-,-,-,,205,9.76,75.09
57,20/01/2016,Australia,Manuka Oval,c S P D Smith b K W Richardson,2,6,33.33,,207,9.41,74.19
58,19/01/2017,England,Barabati Stadium,did not bat,-,-,-,,207,9.41,74.19
59,22/01/2017,England,Eden Gardens,not out,0*,1,0.00,,207,9.41,73.93
60,04/06/2017,Pakistan,Edgbaston,did not bat,-,-,-,,207,9.41,73.93
61,08/06/2017,Sri Lanka,Kennington Oval,did not bat,-,-,-,,207,9.41,73.93
62,11/06/2017,South Africa,Kennington Oval,did not bat,-,-,-,,207,9.41,73.93
63,15/06/2017,Bangladesh,Edgbaston,did not bat,-,-,-,,207,9.41,73.93
64,18/06/2017,Pakistan,Kennington Oval,not out,1*,8,12.50,,208,9.45,72.22
65,23/06/2017,West Indies,Queen's Park Oval,did not bat,-,-,-,,208,9.45,72.22
66,25/06/2017,West Indies,Queen's Park Oval,did not bat,-,-,-,,208,9.45,72.22
67,30/06/2017,West Indies,Sir Vivian Richards Stadium,did not bat,-,-,-,,208,9.45,72.22
68,20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium,did not bat,-,-,-,,208,9.45,72.22
69,24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,not out,53*,80,66.25,,261,11.86,70.92
70,27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,did not bat,-,-,-,,261,11.86,70.92
71,03/09/2017,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,,261,11.86,70.92
72,17/09/2017,Australia,MA Chidambaram Stadium,not out,32*,30,106.67,,293,13.32,73.62
73,21/09/2017,Australia,Eden Gardens,c G J Maxwell b K W Richardson,20,33,60.61,,313,13.61,72.62
74,24/09/2017,Australia,Holkar Cricket Stadium,did not bat,-,-,-,,313,13.61,72.62
75,01/10/2017,Australia,Vidarbha Cricket Association Stadium,did not bat,-,-,-,,313,13.61,72.62
76,22/10/2017,New Zealand,Wankhede Stadium,c H M Nicholls b T G Southee,26,15,173.33,,339,14.13,76.01
77,25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,339,14.13,76.01
78,29/10/2017,New Zealand,Green Park,did not bat,-,-,-,,339,14.13,76.01
79,10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,c †N Dickwella b R A S Lakmal,0,5,0.00,,339,13.56,75.17
