0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,25/04/1990,Sri Lanka,Sharjah Cricket Stadium,S H U Karnain (c †K S More),10.0,1/42,,60.00,4.20,1,42.00
2.0,27/04/1990,Pakistan,Sharjah Cricket Stadium,Saleem Yousuf (st †K S More),10.0,1/33,,60.00,3.75,2,37.50
3.0,18/07/1990,England,Headingley,R A Smith (c †K S More),11.0,2/29,,46.50,3.35,3,26.00
,,,,D I Gower (b),,,,,,4,
4.0,20/07/1990,England,Trent Bridge,,11.0,0/58,,63.00,3.86,,40.50
5.0,01/12/1990,Sri Lanka,Vidarbha Cricket Association Ground,,10.0,0/35,,78.00,3.79,,49.25
6.0,05/12/1990,Sri Lanka,Nehru Stadium (Pune),,6.0,0/51,,87.00,4.28,,62.00
7.0,08/12/1990,Sri Lanka,Nehru Stadium (Margao),R S Mahanama (lbw),10.0,1/40,,81.60,4.24,5,57.60
8.0,19/10/1991,West Indies,Sharjah Cricket Stadium,A L Logie (lbw),10.0,4/50,,52.00,4.33,6,37.56
,,,,C B Lambert (c & b),,,,,,7,
,,,,C L Hooper (lbw),,,,,,8,
,,,,K L T Arthurton (st †K S More),,,,,,9,
9.0,22/10/1991,West Indies,Sharjah Cricket Stadium,,10.0,0/24,,58.67,4.11,,40.22
10.0,23/10/1991,Pakistan,Sharjah Cricket Stadium,,7.0,0/35,,63.33,4.18,,44.11
11.0,25/10/1992,Zimbabwe,Harare Sports Club,C N Evans (c M Azharuddin),8.0,1/35,,61.80,4.19,10,43.20
12.0,07/12/1992,South Africa,Newlands,,10.0,0/38,,67.80,4.16,,47.00
13.0,09/12/1992,South Africa,St George's Park,,10.0,0/22,,73.80,4.00,,49.20
14.0,11/12/1992,South Africa,SuperSport Park,K C Wessels (b),10.0,2/29,,66.50,3.92,11,43.42
,,,,W J Cronje (b),,,,,,12,
15.0,13/12/1992,South Africa,Wanderers Stadium,A C Hudson (c M Azharuddin),9.0,1/33,,65.54,3.90,13,42.62
16.0,15/12/1992,South Africa,Mangaung Oval,K C Wessels (c & b),10.0,1/34,,65.14,3.87,14,42.00
17.0,17/12/1992,South Africa,Kingsmead,D J Callaghan (st †V Yadav),10.0,1/33,,64.80,3.83,15,41.40
18.0,19/12/1992,South Africa,Buffalo Park,,9.0,0/33,,68.40,3.82,,43.60
19.0,18/01/1993,England,Sawai Mansingh Stadium,M W Gatting (b),10.0,1/54,,67.88,3.91,16,44.25
20.0,21/01/1993,England,Sector 16 Stadium,R A Smith (lbw),10.0,1/37,,67.41,3.90,17,43.82
21.0,26/02/1993,England,M Chinnaswamy Stadium,,10.0,0/39,,70.94,3.90,,46.12
