0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Afghanistan,17.1,1,90,6,1,4/40,15.00,17.17,5.24
Australia,121.0,5,698,18,0,3/42,38.78,40.33,5.77
Bangladesh,27.0,2,155,7,1,4/50,22.14,23.14,5.74
England,84.3,4,426,17,1,5/69,25.06,29.82,5.04
Ireland,9.0,0,41,3,0,3/41,13.67,18.00,4.56
New Zealand,73.0,5,454,20,1,4/55,22.70,21.90,6.22
Pakistan,28.0,5,107,5,1,4/35,21.40,33.60,3.82
South Africa,36.0,2,215,11,0,3/48,19.55,19.64,5.97
Sri Lanka,20.0,0,149,3,0,3/81,49.67,40.00,7.45
West Indies,123.0,7,672,32,4,4/16,21.00,23.06,5.46
Zimbabwe,53.0,5,231,9,0,3/48,25.67,35.33,4.36
Overall (11),591.4,36,3238,131,9,5/69,24.72,27.10,5.47
