0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Arun Jaitley Stadium,1,1,0,0,0,0,16,16,16.00,100.00,2,0
Barsapara Cricket Stadium,1,0,0,0,0,0,0,0,,,1,0
Dr YS Rajasekhara Reddy Cricket Stadium,1,1,0,0,0,0,17,17,17.00,130.77,1,0
Edgbaston,2,2,0,0,0,0,48,80,40.00,114.29,1,0
Headingley,1,1,0,0,0,0,4,4,4.00,100.00,0,0
Maharashtra Cricket Association Stadium,1,1,0,0,0,0,24,24,24.00,133.33,1,0
Old Trafford,1,1,0,0,0,0,32,32,32.00,57.14,0,0
Providence Stadium,1,0,0,0,0,0,0,0,,,0,0
Punjab Cricket Association IS Bindra Stadium,1,1,0,0,0,0,36,36,36.00,150.00,0,0
Queen's Park Oval,2,2,0,0,0,1,20,20,10.00,55.56,1,0
Overall (10),12,10,0,0,0,1,48,229,22.90,96.62,7,0
