0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,28/09/1984,Australia,Jawaharlal Nehru Stadium (Delhi),0,0,0.00,1/27,1,27.00,,0,,,,27 years 206 days
2.0,01/10/1984,Australia,University Stadium,6,6,3.00,,1,27.00,,0,,,,27 years 209 days
3.0,03/10/1984,Australia,Keenan Stadium,-,6,3.00,,1,27.00,,0,,,,27 years 211 days
4.0,05/10/1984,Australia,Sardar Patel Stadium,-,6,3.00,1/44,2,35.50,,0,,,,27 years 213 days
5.0,06/10/1984,Australia,Nehru Stadium (Indore),-,6,3.00,3/43,5,22.80,1,1,,,,27 years 214 days
6.0,27/12/1984,England,Barabati Stadium,-,6,3.00,1/53,6,27.83,,1,,,,27 years 296 days
7.0,20/01/1985,England,M Chinnaswamy Stadium,-,6,3.00,1/42,7,29.86,,1,,,,27 years 320 days
8.0,23/01/1985,England,Vidarbha Cricket Association Ground,-,6,3.00,0/54,7,37.57,,1,,,,27 years 323 days
