0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,1,1,0,0,0,1,0,0,0.00,,1,0
Arun Jaitley Stadium,4,4,0,0,0,0,28,58,14.50,56.31,2,0
Barabati Stadium,1,1,0,1,0,0,111,111,111.00,102.78,1,0
Brisbane Cricket Ground,2,2,0,0,1,0,89,122,61.00,101.67,1,0
Dr YS Rajasekhara Reddy Cricket Stadium,1,1,0,0,0,0,20,20,20.00,51.28,1,0
Eden Gardens,4,4,0,0,1,0,55,126,31.50,81.29,2,0
Eden Park,2,2,0,0,0,0,19,22,11.00,57.89,2,0
Edgbaston,1,1,0,1,0,0,106,106,106.00,106.00,1,0
Green Park,1,1,0,0,1,0,60,60,60.00,73.17,0,0
Harare Sports Club,3,3,0,0,1,0,63,112,37.33,72.73,5,0
Headingley,1,1,0,0,0,1,0,0,0.00,,1,0
Himachal Pradesh Cricket Association Stadium,2,2,0,0,1,0,68,101,50.50,89.38,1,0
Holkar Cricket Stadium,2,2,0,0,2,0,70,121,60.50,87.05,0,0
JSCA International Stadium Complex,3,3,0,0,1,1,57,59,19.67,70.24,2,0
Kennington Oval,1,1,0,0,0,1,0,0,0.00,,0,0
Khan Shaheb Osman Ali Stadium,2,2,0,0,1,0,73,95,47.50,86.36,0,0
Kingsmead,2,2,0,0,1,0,79,87,43.50,84.47,0,0
Lord's,1,1,0,0,0,0,38,38,38.00,71.70,0,0
M Chinnaswamy Stadium,1,1,0,0,1,0,53,53,53.00,80.30,1,0
MA Chidambaram Stadium,3,3,0,0,0,1,45,50,16.67,72.46,4,0
Manuka Oval,1,1,0,0,0,0,2,2,2.00,66.67,0,0
McLean Park,1,1,0,0,0,0,7,7,7.00,53.85,1,0
Melbourne Cricket Ground,4,4,0,0,2,0,79,160,40.00,91.95,1,0
Nehru Stadium (Kochi),2,2,0,0,0,0,24,28,14.00,77.78,0,0
Newlands,1,1,0,0,0,0,11,11,11.00,84.62,0,0
Pallekele International Cricket Stadium,1,1,0,0,0,0,9,9,9.00,52.94,1,0
Punjab Cricket Association IS Bindra Stadium,2,2,0,0,1,0,91,96,48.00,84.21,1,0
Queen's Park Oval,2,2,0,1,1,0,103,165,82.50,90.66,0,0
Queens Sports Club,1,1,0,0,1,0,50,50,50.00,75.76,0,0
R Premadasa Stadium,1,1,0,0,0,0,5,5,5.00,29.41,0,0
Rajiv Gandhi International Stadium,2,2,0,0,0,0,31,46,23.00,52.27,2,0
Riverside Ground,1,1,0,0,0,0,40,40,40.00,90.91,0,0
Sabina Park,1,1,0,0,0,0,39,39,39.00,76.47,1,0
Sardar Patel Stadium,1,1,0,0,0,0,8,8,8.00,42.11,0,0
Saurashtra Cricket Association Stadium,2,2,0,0,0,0,47,51,25.50,79.69,2,0
Seddon Park,3,3,1,0,0,0,36,72,36.00,92.31,2,0
Shere Bangla National Stadium,6,6,0,0,2,1,64,155,25.83,67.39,4,0
Sir Vivian Richards Stadium,2,2,0,0,2,0,72,132,66.00,65.02,0,0
Sophia Gardens,2,2,0,0,0,0,41,67,33.50,71.28,1,0
St George's Park,1,1,0,0,0,0,8,8,8.00,44.44,0,0
SuperSport Park,2,1,1,0,0,0,34*,34,,68.00,1,0
Sydney Cricket Ground,2,2,1,0,0,0,44,72,72.00,61.02,2,0
The Rose Bowl,1,1,0,0,1,0,54,54,54.00,114.89,0,0
Trent Bridge,1,1,0,0,0,0,45,45,45.00,80.36,0,0
Vidarbha Cricket Association Stadium,1,1,0,0,1,0,61,61,61.00,82.43,2,0
WACA Ground,4,2,0,0,1,0,73,87,43.50,64.44,0,0
Wanderers Stadium,1,1,0,0,0,0,8,8,8.00,53.33,0,0
Wankhede Stadium,2,2,0,0,1,0,87,107,53.50,112.63,0,0
Westpac Stadium,1,1,0,0,0,0,2,2,2.00,20.00,2,0
Overall (49),90,87,3,3,24,6,111,2962,35.26,78.63,48,0
