0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,03/12/1982,Pakistan,Jinnah Stadium (Gujwranwala),did not bat,-,-,-,,0,,
2,17/12/1982,Pakistan,Ibn-e-Qasim Bagh Stadium,did not bat,-,-,-,,0,,
3,31/12/1982,Pakistan,Gaddafi Stadium,did not bat,-,-,-,,0,,
4,21/01/1983,Pakistan,National Stadium (Karachi),did not bat,-,-,-,,0,,
5,29/03/1983,West Indies,Albion Sports Complex,did not bat,-,-,-,,0,,
6,07/04/1983,West Indies,Queen's Park (Old),not out,16*,23,69.57,,16,,69.57
7,09/06/1983,West Indies,Old Trafford,did not bat,-,-,-,,16,,69.57
8,11/06/1983,Zimbabwe,Grace Road,did not bat,-,-,-,,16,,69.57
9,13/06/1983,Australia,Trent Bridge,not out,9*,12,75.00,,25,,71.43
10,15/06/1983,West Indies,Kennington Oval,run out,0,2,0.00,,25,25.00,67.57
11,18/06/1983,Zimbabwe,Nevill Ground,did not bat,-,-,-,,25,25.00,67.57
12,20/06/1983,Australia,County Ground (Chelmsford),b J R Thomson,8,18,44.44,,33,16.50,60.00
13,22/06/1983,England,Old Trafford,did not bat,-,-,-,,33,16.50,60.00
14,25/06/1983,West Indies,Lord's,not out,11*,30,36.67,,44,22.00,51.76
15,10/09/1983,Pakistan,Lal Bahadur Shastri Stadium,did not bat,-,-,-,,44,22.00,51.76
16,02/10/1983,Pakistan,Sawai Mansingh Stadium,did not bat,-,-,-,,44,22.00,51.76
17,13/10/1983,West Indies,Sher-I-Kashmir Stadium,c I V A Richards b M D Marshall,0,2,0.00,,44,14.67,50.57
18,09/11/1983,West Indies,Moti Bagh Stadium,did not bat,-,-,-,,44,14.67,50.57
19,01/12/1983,West Indies,Nehru Stadium (Indore),did not bat,-,-,-,,44,14.67,50.57
20,06/10/1984,Australia,Nehru Stadium (Indore),did not bat,-,-,-,,44,14.67,50.57
21,12/10/1984,Pakistan,Ayub National Stadium,b Naved Anjum,7,10,70.00,,51,12.75,52.58
22,31/10/1984,Pakistan,Jinnah Stadium (Sialkot),did not bat,-,-,-,,51,12.75,52.58
No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,,
