0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,21/01/1983,Pakistan,National Stadium (Karachi),,4.0,0/19,,,4.75,,
2.0,20/01/1985,England,M Chinnaswamy Stadium,,9.0,0/36,,,4.23,,
3.0,23/01/1985,England,Vidarbha Cricket Association Ground,P R Downton (c L S Rajput),10.0,2/50,,69.00,4.57,1,52.50
,,,,V J Marks (b),,,,,,2,
4.0,27/01/1985,England,Sector 16 Stadium,P H Edmonds (c M Azharuddin),3.0,3/23,,31.20,4.92,3,25.60
,,,,M W Gatting (c M Azharuddin),,,,,,4,
,,,,D I Gower (b),,,,,,5,
