0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,28/05/2010,Zimbabwe,Queens Sports Club,-,0,,2/51,2,25.50,,0,,,,26 years 105 days
2.0,20/10/2010,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,-,0,,0/71,2,61.00,1,1,,,,26 years 250 days
3.0,16/06/2011,West Indies,Sabina Park,2,2,2.00,1/46,3,56.00,,1,,,,27 years 124 days
4.0,03/09/2011,England,Riverside Ground,1*,3,3.00,0/15,3,61.00,,1,,,,27 years 203 days
5.0,06/09/2011,England,The Rose Bowl,-,3,3.00,1/33,4,54.00,,1,,,,27 years 206 days
6.0,16/09/2011,England,Sophia Gardens,-,3,3.00,1/42,5,51.60,,1,,,,27 years 216 days
7.0,14/10/2011,England,Rajiv Gandhi International Stadium,-,3,3.00,0/24,5,56.40,1,2,,,,27 years 244 days
8.0,17/10/2011,England,Arun Jaitley Stadium,-,3,3.00,4/30,9,34.67,,2,,,,27 years 247 days
9.0,20/10/2011,England,Punjab Cricket Association IS Bindra Stadium,-,3,3.00,1/64,10,37.60,,2,,,,27 years 250 days
10.0,23/10/2011,England,Wankhede Stadium,-,3,3.00,1/41,11,37.91,,2,,,,27 years 253 days
11.0,25/10/2011,England,Eden Gardens,0*,3,3.00,0/21,11,39.82,,2,,,,27 years 255 days
12.0,29/11/2011,West Indies,Barabati Stadium,18,21,10.50,1/27,12,38.75,,2,,,,27 years 290 days
13.0,02/12/2011,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,-,21,10.50,2/43,14,36.29,,2,,,,27 years 293 days
14.0,05/12/2011,West Indies,Sardar Patel Stadium,3,24,8.00,2/39,16,34.19,,2,,,,27 years 296 days
15.0,08/12/2011,West Indies,Holkar Cricket Stadium,-,24,8.00,0/34,16,36.31,,2,,,,27 years 299 days
16.0,05/02/2012,Australia,Melbourne Cricket Ground,12*,36,12.00,3/21,19,31.68,,2,,,,27 years 358 days
17.0,08/02/2012,Sri Lanka,WACA Ground,-,36,12.00,1/56,20,32.90,,2,,,,27 years 361 days
18.0,12/02/2012,Australia,Adelaide Oval,-,36,12.00,2/58,22,32.55,1,3,,,,28 years 0 days
19.0,14/02/2012,Sri Lanka,Adelaide Oval,1,37,9.25,3/46,25,30.48,,3,,,,28 years 2 days
20.0,19/02/2012,Australia,Brisbane Cricket Ground,6,43,8.60,0/60,25,32.88,,3,,,,28 years 7 days
21.0,21/02/2012,Sri Lanka,Brisbane Cricket Ground,0,43,7.17,0/48,25,34.80,,3,,,,28 years 9 days
22.0,13/03/2012,Sri Lanka,Shere Bangla National Stadium,-,43,7.17,3/55,28,33.04,,3,,,,28 years 30 days
23.0,11/07/2013,Sri Lanka,Queen's Park Oval,5,48,6.86,0/15,28,33.57,2,5,,,,29 years 149 days
24.0,24/07/2013,Zimbabwe,Harare Sports Club,-,48,6.86,1/57,29,34.38,,5,,,,29 years 162 days
25.0,26/07/2013,Zimbabwe,Harare Sports Club,27*,75,10.71,0/49,29,36.07,,5,,,,29 years 164 days
26.0,28/07/2013,Zimbabwe,Harare Sports Club,-,75,10.71,1/32,30,35.93,,5,,,,29 years 166 days
27.0,13/10/2013,Australia,Maharashtra Cricket Association Stadium,11,86,10.75,1/68,31,36.97,1,6,,,,29 years 243 days
28.0,16/10/2013,Australia,Sawai Mansingh Stadium,-,86,10.75,2/73,33,36.94,,6,,,,29 years 246 days
29.0,19/10/2013,Australia,Punjab Cricket Association IS Bindra Stadium,0,86,9.56,2/50,35,36.26,,6,,,,29 years 249 days
30.0,23/10/2013,Australia,JSCA International Stadium Complex,-,86,9.56,2/52,37,35.70,,6,,,,29 years 253 days
31.0,02/11/2013,Australia,M Chinnaswamy Stadium,-,86,9.56,1/102,38,37.45,,6,,,,29 years 263 days
