0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,06/11/2002,West Indies,Keenan Stadium,b M V Dillon,0,5,0.00,,0,0.00,0.00
2,12/11/2002,West Indies,Madhavrao Scindia Cricket Ground,did not bat,-,-,-,,0,0.00,0.00
3,26/08/2005,New Zealand,Queens Sports Club,c C D McMillan b J D P Oram,69,92,75.00,,69,34.50,71.13
4,29/08/2005,Zimbabwe,Harare Sports Club,not out,0*,0,-,,69,34.50,71.13
5,02/09/2005,New Zealand,Harare Sports Club,did not bat,-,-,-,,69,34.50,71.13
6,04/09/2005,Zimbabwe,Harare Sports Club,not out,0*,2,0.00,,69,34.50,69.70
7,06/09/2005,New Zealand,Harare Sports Club,c †B B McCullum b J D P Oram,0,2,0.00,,69,23.00,68.32
8,25/10/2005,Sri Lanka,Vidarbha Cricket Association Ground,not out,3*,3,100.00,,72,24.00,69.23
9,28/10/2005,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,lbw b M Muralitharan,9,19,47.37,,81,20.25,65.85
10,31/10/2005,Sri Lanka,Sawai Mansingh Stadium,did not bat,-,-,-,,81,20.25,65.85
11,03/11/2005,Sri Lanka,Nehru Stadium (Pune),did not bat,-,-,-,,81,20.25,65.85
12,06/11/2005,Sri Lanka,Sardar Patel Stadium,did not bat,-,-,-,,81,20.25,65.85
No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,,
