0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,03/05/2019,England,The Village,32,32,32.00,0/48,0,,1,1,,,,23 years 36 days
2.0,05/05/2019,West Indies,Castle Avenue,10,42,21.00,1/84,1,132.00,,1,,,,23 years 38 days
3.0,11/05/2019,West Indies,The Village,25*,67,33.50,0/57,1,189.00,,1,,,,23 years 44 days
4.0,15/05/2019,Bangladesh,Castle Avenue,11,78,26.00,1/52,2,120.50,,1,,,,23 years 48 days
5.0,19/05/2019,Afghanistan,Civil Service Cricket Club,7,85,21.25,4/19,6,43.33,1,2,,,,23 years 52 days
6.0,21/05/2019,Afghanistan,Civil Service Cricket Club,8,93,18.60,3/71,9,36.78,,2,,,,23 years 54 days
7.0,01/07/2019,Zimbabwe,Bready Cricket Club,21*,114,22.80,4/73,13,31.08,,2,,,,23 years 95 days
8.0,04/07/2019,Zimbabwe,Civil Service Cricket Club,3,117,19.50,0/52,13,35.08,,2,,,,23 years 98 days
9.0,07/07/2019,Zimbabwe,Civil Service Cricket Club,-,117,19.50,2/53,15,33.93,,2,,,,23 years 101 days
