0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Afghanistan,30.1,4,122,9,1,5/20,13.56,20.11,4.04
Australia,8.0,0,38,2,0,2/38,19.00,24.00,4.75
Bangladesh,23.5,1,103,3,0,2/30,34.33,47.67,4.32
Canada,25.3,0,126,5,0,2/11,25.20,30.60,4.94
England,17.0,0,104,2,0,2/41,52.00,51.00,6.12
India,11.0,0,61,0,0,0/18,,,5.55
Kenya,39.3,4,172,10,0,3/29,17.20,23.70,4.35
Netherlands,21.3,1,107,3,0,1/14,35.67,43.00,4.98
Pakistan,41.4,4,197,9,0,3/13,21.89,27.78,4.73
Scotland,55.5,6,224,9,0,2/26,24.89,37.22,4.01
South Africa,6.0,0,29,3,0,3/15,9.67,12.00,4.83
Sri Lanka,8.0,1,53,1,0,1/53,53.00,48.00,6.63
United Arab Emirates,10.0,0,54,2,0,2/54,27.00,30.00,5.40
West Indies,12.0,1,46,0,0,,,,3.83
Zimbabwe,15.3,2,74,5,1,4/32,14.80,18.60,4.77
Overall (15),325.3,24,1510,63,2,5/20,23.97,31.00,4.64
