0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,6.0,0,43,0,0,0/43,,,7.17
Bellerive Oval,10.0,0,56,1,0,1/56,56.00,60.00,5.60
Brisbane Cricket Ground,7.0,0,39,1,0,1/39,39.00,42.00,5.57
Castle Avenue,87.1,3,377,8,0,2/8,47.13,65.38,4.33
Civil Service Cricket Club,43.4,3,184,6,1,4/24,30.67,43.67,4.21
County Ground (Bristol),3.0,0,20,0,0,0/20,,,6.67
"Cricket, Skating & Curling Club",17.0,1,89,0,0,0/27,,,5.24
Dubai International Cricket Stadium,23.2,2,107,5,1,4/35,21.40,28.00,4.59
Eden Gardens,13.4,0,52,1,0,1/37,52.00,82.00,3.80
Grange Cricket Club,10.0,0,58,2,0,2/58,29.00,30.00,5.80
Greater Noida Sports Complex Ground,49.4,2,255,5,0,2/45,51.00,59.60,5.13
Harare Sports Club,80.0,5,315,9,0,3/27,35.00,53.33,3.94
Hazelaarweg,20.0,2,72,2,0,1/35,36.00,60.00,3.60
ICC Global Cricket Academy,56.0,2,253,10,0,3/27,25.30,33.60,4.52
Lord's,8.0,0,52,1,0,1/52,52.00,48.00,6.50
M Chinnaswamy Stadium,20.0,0,117,3,0,2/49,39.00,40.00,5.85
Manuka Oval,10.0,0,56,0,0,0/56,,,5.60
Mombasa Sports Ground,12.0,0,53,3,0,2/18,17.67,24.00,4.42
Punjab Cricket Association IS Bindra Stadium,3.0,0,15,1,0,1/15,15.00,18.00,5.00
Rajiv Gandhi International Cricket Stadium,38.0,3,200,8,0,3/51,25.00,28.50,5.26
Sabina Park,14.4,1,82,2,0,1/34,41.00,44.00,5.59
Saxton Oval,10.0,0,50,3,0,3/50,16.67,20.00,5.00
Seddon Park,5.0,0,44,0,0,0/44,,,8.80
Sharjah Cricket Stadium,27.0,0,127,5,1,4/28,25.40,32.40,4.70
Shere Bangla National Stadium,10.0,2,23,2,0,2/23,11.50,30.00,2.30
Sportpark Westvliet,2.0,0,15,0,0,0/15,,,7.50
The Village,58.0,0,304,1,0,1/65,304.00,348.00,5.24
VRA Ground,46.0,5,177,10,1,4/35,17.70,27.60,3.85
Willowmoore Park,15.1,0,92,0,0,0/36,,,6.07
Overall (29),705.2,31,3327,89,4,4/24,37.38,47.55,4.72
