0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,25/08/2008,Kenya,Civil Service Cricket Club,did not bat,-,-,-,,0,,
2,18/10/2008,Kenya,Gymkhana Club Ground,not out,8*,5,160.00,,8,,160.00
3,01/04/2009,Scotland,Willowmoore Park,did not bat,-,-,-,,8,,160.00
4,06/04/2009,Canada,Willowmoore Park,did not bat,-,-,-,,8,,160.00
5,19/04/2009,Canada,SuperSport Park,did not bat,-,-,-,,8,,160.00
6,09/07/2009,Kenya,Castle Avenue,did not bat,-,-,-,,8,,160.00
7,11/07/2009,Kenya,Castle Avenue,did not bat,-,-,-,,8,,160.00
8,12/07/2009,Kenya,Castle Avenue,not out,29*,14,207.14,,37,,194.74
9,22/08/2009,Scotland,Mannofield Park,c N S Poonia b G D Drummond,24,19,126.32,,61,61.00,160.53
10,27/08/2009,England,Civil Service Cricket Club,c T T Bresnan b O A Shah,0,3,0.00,,61,30.50,148.78
No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,,
