0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Bert Sutcliffe Oval,1,1,0,0,0,0,5,5,5.00,38.46,0,0
Cambusdoon New Ground,1,1,0,0,0,0,24,24,24.00,54.55,0,0
Castle Avenue,3,3,0,0,1,0,59,125,41.67,68.31,0,0
Civil Service Cricket Club,2,1,0,0,0,0,16,16,16.00,57.14,0,0
Diamond Oval,1,1,0,0,0,0,23,23,23.00,71.88,0,0
Eden Gardens,1,1,0,0,0,0,23,23,23.00,63.89,0,0
Gymkhana Club Ground,11,10,2,0,6,0,96*,566,70.75,75.97,5,0
Hagley Oval,1,1,0,0,1,0,89,89,89.00,88.12,0,0
Harare Sports Club,5,5,0,0,1,0,65,127,25.40,73.84,2,0
Hazelaarweg,3,3,0,0,0,0,40,99,33.00,73.33,2,0
ICC Global Cricket Academy,2,2,0,0,0,0,29,55,27.50,107.84,0,0
M Chinnaswamy Stadium,1,1,0,0,0,0,14,14,14.00,140.00,0,0
MA Chidambaram Stadium,1,1,0,0,0,0,6,6,6.00,31.58,0,0
Mangaung Oval,1,1,0,0,0,0,38,38,38.00,77.55,1,0
Mannofield Park,2,2,0,0,0,1,3,3,1.50,30.00,1,0
Maple Leaf North - West Ground,2,1,0,0,0,0,5,5,5.00,100.00,0,0
Mombasa Sports Ground,4,3,0,0,0,0,14,22,7.33,51.16,2,0
Senwes Park,2,2,0,0,0,1,15,15,7.50,136.36,1,0
Sharjah Cricket Stadium,1,1,0,0,0,0,3,3,3.00,42.86,0,0
Sportpark Thurlede,2,2,0,0,0,0,21,35,17.50,81.40,1,0
Sportpark Westvliet,1,1,0,0,0,0,10,10,10.00,83.33,0,0
VRA Ground,1,1,0,0,0,0,3,3,3.00,30.00,0,0
Overall (22),49,45,2,0,9,2,96*,1306,30.37,74.25,15,0
