0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,16/02/2010,Netherlands,Gymkhana Club Ground,A F Buurman (c H A Varaiya),10.0,1/63,,60.00,6.30,1,63.00
2.0,18/02/2010,Netherlands,Gymkhana Club Ground,,5.0,0/29,,90.00,6.13,,92.00
3.0,03/07/2010,Netherlands,Sportpark Westvliet,Adeel Raja (c T M Odoyo),6.0,1/32,,63.00,5.90,2,62.00
4.0,05/07/2010,Afghanistan,VRA Ground,Mohammad Shahzad (lbw),8.0,1/43,,58.00,5.76,3,55.67
5.0,07/07/2010,Scotland,Hazelaarweg,G D Drummond (c & b),7.0,1/22,,54.00,5.25,4,47.25
6.0,30/06/2013,Scotland,Mannofield Park,C S MacLeod (c R G Aga),10.0,3/48,,39.43,5.15,5,33.86
,,,,K J Coetzer (b),,,,,,6,
,,,,F R J Coleman (c A A Obanda),,,,,,7,
7.0,02/07/2013,Scotland,Mannofield Park,F R J Coleman (b),7.0,1/19,,39.75,4.83,8,32.00
