0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,10/10/1997,Bangladesh,Gymkhana Club Ground,did not bat,-,-,-,,0,,
2,12/10/1997,Zimbabwe,Gymkhana Club Ground,not out,13*,12,108.33,,13,,108.33
3,15/10/1997,Bangladesh,Aga Khan Sports Club Ground,not out,42*,50,84.00,,55,,88.71
4,16/10/1997,Zimbabwe,Aga Khan Sports Club Ground,c †A Flower b G J Whittall,9,11,81.82,,64,64.00,87.67
5,18/10/1997,Zimbabwe,Gymkhana Club Ground,b P A Strang,5,15,33.33,,69,34.50,78.41
6,19/10/1997,Zimbabwe,Gymkhana Club Ground,c A D R Campbell b P A Strang,0,1,0.00,,69,23.00,77.53
7,23/05/1998,Bangladesh,MA Chidambaram Stadium,not out,11*,14,78.57,,80,26.67,77.67
8,28/05/1998,India,Captain Roop Singh Stadium,not out,13*,15,86.67,,93,31.00,78.81
9,19/03/1999,Zimbabwe,Bangabandhu National Stadium,c †A Flower b P A Strang,8,34,23.53,,101,25.25,66.45
10,20/03/1999,Bangladesh,Bangabandhu National Stadium,did not bat,-,-,-,,101,25.25,66.45
11,23/03/1999,Zimbabwe,Bangabandhu National Stadium,st A Flower b A D R Campbell,1,5,20.00,,102,20.40,64.97
12,15/05/1999,Zimbabwe,The Cooper Associates County Ground,c A R Whittall b P A Strang,54,90,60.00,,156,26.00,63.16
13,18/05/1999,England,St Lawrence Ground,b R D B Croft,6,19,31.58,,162,23.14,60.90
14,23/05/1999,India,County Ground (Bristol),not out,6*,13,46.15,,168,24.00,60.22
15,26/05/1999,South Africa,VRA Ground,c & b L Klusener,2,24,8.33,,170,21.25,56.11
16,30/05/1999,Sri Lanka,County Ground (Southampton),not out,73*,98,74.49,,243,30.38,60.60
17,29/09/1999,India,Gymkhana Club Ground,c & b R Vijay Bhardwaj,18,65,27.69,,261,29.00,56.01
18,30/09/1999,South Africa,Gymkhana Club Ground,c †M V Boucher b L Klusener,17,46,36.96,,278,27.80,54.30
No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,,
