0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,15/06/2010,Scotland,Hazelaarweg,not out,80*,125,64.00,,80,,64.00
2,01/07/2010,Scotland,VRA Ground,lbw b G D Drummond,87,130,66.92,,167,167.00,65.49
3,03/07/2010,Kenya,Sportpark Westvliet,lbw b J K Kamande,67,98,68.37,,234,117.00,66.29
4,05/07/2010,Canada,Hazelaarweg,st A Bagai b H S Baidwan,39,58,67.24,,273,91.00,66.42
5,07/07/2010,Afghanistan,Sportpark Westvliet,run out,101,155,65.16,,374,93.50,66.08
6,09/07/2010,Ireland,VRA Ground,c P R Stirling b J F Mooney,18,18,100.00,,392,78.40,67.12
7,10/07/2010,Afghanistan,Hazelaarweg,b Aftab Alam,96,135,71.11,,488,81.33,67.87
8,20/07/2010,Bangladesh,Titwood,c Mashrafe Mortaza b Nazmul Hossain,8,11,72.73,,496,70.86,67.95
9,16/08/2010,Ireland,Castle Avenue,st G C Wilson b A van der Merwe,68,58,117.24,,564,70.50,71.57
10,18/08/2010,Ireland,Castle Avenue,c †G C Wilson b J F Mooney,25,38,65.79,,589,65.44,71.31
11,22/02/2011,England,Vidarbha Cricket Association Stadium,c J M Anderson b P D Collingwood,47,73,64.38,,636,63.60,70.75
12,28/02/2011,West Indies,Arun Jaitley Stadium,not out,55*,72,76.39,,691,69.10,71.16
13,03/03/2011,South Africa,Punjab Cricket Association IS Bindra Stadium,c D W Steyn b J H Kallis,9,21,42.86,,700,63.64,70.56
14,09/03/2011,India,Arun Jaitley Stadium,c †M S Dhoni b A Nehra,29,47,61.70,,729,60.75,70.16
15,14/03/2011,Bangladesh,Zahur Ahmed Chowdhury Stadium,run out,29,41,70.73,,758,58.31,70.19
16,18/03/2011,Ireland,Eden Gardens,c W T S Porterfield b W B Rankin,5,5,100.00,,763,54.50,70.32
17,28/06/2011,Scotland,Mannofield Park,b J H Davey,75,103,72.82,,838,55.87,70.54
18,29/06/2011,Scotland,Mannofield Park,b R D Berrington,26,36,72.22,,864,54.00,70.59
19,29/03/2012,Afghanistan,Sharjah Cricket Stadium,did not bat,-,-,-,,864,54.00,70.59
20,31/03/2012,Afghanistan,Sharjah Cricket Stadium,c Mohammad Nabi b Javed Ahmadi,52,66,78.79,,916,53.88,71.01
21,31/05/2013,South Africa,VRA Ground,lbw b R J Peterson,14,30,46.67,,930,51.67,70.45
22,07/07/2013,Ireland,VRA Ground,c J F Mooney b K J O'Brien,8,14,57.14,,938,49.37,70.31
23,09/07/2013,Ireland,VRA Ground,c W T S Porterfield b K J O'Brien,38,57,66.67,,976,48.80,70.17
No. of Innings Played = 22,No. of Innings Played = 22,No. of Innings Played = 22,No. of Innings Played = 22,No. of Innings Played = 22,No. of Innings Played = 22,No. of Innings Played = 22,No. of Innings Played = 22,No. of Innings Played = 22,No. of Innings Played = 22,,
