0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,17/02/1996,New Zealand,Reliance Stadium,45,45,45.00,0/48,0,,,0,,,,33 years 9 days
2.0,22/02/1996,England,Arbab Niaz Stadium,11*,56,56.00,1/40,1,88.00,,0,,,,33 years 14 days
3.0,26/02/1996,Pakistan,Gaddafi Stadium,10,66,33.00,1/20,2,54.00,1,1,,,,33 years 18 days
4.0,01/03/1996,United Arab Emirates,Gaddafi Stadium,12,78,26.00,1/24,3,44.00,,1,,,,33 years 22 days
5.0,16/09/2002,Sri Lanka,R Premadasa Stadium,4*,82,27.33,2/59,5,38.20,1,2,,,,39 years 221 days
6.0,21/09/2002,Pakistan,Sinhalese Sports Club Ground,32*,114,38.00,0/14,5,41.00,,2,,,,39 years 226 days
7.0,12/02/2003,India,Boland Park,3,117,29.25,1/27,6,38.67,1,3,,,,40 years 5 days
8.0,16/02/2003,England,Buffalo Park,6,123,24.60,0/18,6,41.67,1,4,,,,40 years 9 days
9.0,20/02/2003,Australia,Senwes Park,14*,137,27.40,0/19,6,44.83,,4,,,,40 years 13 days
10.0,25/02/2003,Pakistan,Boland Park,4*,141,28.20,1/39,7,44.00,,4,,,,40 years 18 days
11.0,28/02/2003,Zimbabwe,Queens Sports Club,30,171,28.50,2/38,9,38.44,,4,,,,40 years 21 days
