0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,11/07/2007,Ireland,Civil Service Cricket Club,not out,5*,7,71.43,,5,,71.43
2,18/08/2007,Bermuda,Hazelaarweg,b I H Romaine,4,9,44.44,,9,9.00,56.25
3,20/08/2007,Bermuda,Hazelaarweg,did not bat,-,-,-,,9,9.00,56.25
4,28/07/2008,Ireland,Castle Avenue,lbw b A C Botha,14,33,42.42,,23,11.50,46.94
5,08/08/2008,Bermuda,VRA Ground,not out,2*,5,40.00,,25,12.50,46.30
6,21/08/2008,Kenya,Hazelaarweg,did not bat,-,-,-,,25,12.50,46.30
No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,No. of Innings Played = 4,,
